,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
69,General Torres,Jardim do Morro,419.98,46483,11325,57809,432,340,772,0,0,0,0.49815515654047243,0.15421921675893793,0.3466807789164805
70,Jardim do Morro,São Bento,795.7,47265,11834,59099,430,342,772,0,0,0,0.5088868651431401,0.1602031800895516,0.3544181860131825
71,São Bento,Aliados,443.38,49470,16444,65915,392,344,736,0,0,0,0.5842638934325599,0.2213124361138643,0.4146235383814305
72,Aliados,Trindade,450.27,48185,19297,67483,412,330,742,0,0,0,0.5414620981262093,0.2707349329384398,0.4210578332852875
73,Trindade,Faria Guimaraes,555.34,33254,15721,48976,428,340,768,0,0,0,0.3597110935831376,0.2140723116636006,0.2952355911708426
74,Faria Guimaraes,Marques,621.04,32014,15087,47101,426,344,770,0,0,0,0.347918911012492,0.20305024576443653,0.283198364460114
75,Marques,Combatentes,702.75,23724,12419,36144,392,344,736,0,0,0,0.28019661977295385,0.1671415227415922,0.2273556505082957
76,Combatentes,Salgueiros,471.25,21323,10559,31882,386,376,762,0,0,0,0.2557523317146901,0.13001596929189832,0.19370919225147526
77,Salgueiros,Polo Universitario,775.36,19834,8852,28686,388,386,774,0,0,0,0.23666110355599881,0.10616985105950605,0.1715840706572311
78,Polo Universitario,I.P.O.,827.64,16487,7626,24114,388,390,778,0,0,0,0.19673474700103738,0.09053422254297036,0.14349798024185212
79,I.P.O.,Hospital São João,351.77,6286,6883,13169,388,368,756,0,0,0,0.07500728952376802,0.08659168679549116,0.08064625539148511
80,Verdes (E) ,Botica,683.54,2026,1038,3065,84,66,150,0,0,0,0.1116906206818338,0.07287286290131047,0.09461080725840354
81,Botica,Aeroporto,649.66,1430,709,2139,84,66,150,0,0,0,0.07882943594606562,0.0497334455667789,0.06602720017917947
82,Sra da Hora,Fonte do Cuco,687.03,18774,42155,60930,212,189,401,158,198,158,0.22175696292564184,0.46764237386413793,0.34814387664408203
