,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
52,Portas Fronhas,São Brás,562.21,2476,4217,6693,0,0,0,170,148,318,0.05872964588053381,0.11490522211833144,0.08487425368932013
53,São Brás,Póvoa de Varzim,624.94,2388,4068,6456,0,0,0,178,148,326,0.05411063554356724,0.11083260680041748,0.0798617145190698
55,Fonte do Cuco,Cândido dos Reis,913.51,5019,11091,16110,20,62,82,160,120,280,0.11407519852293768,0.2570280804247065,0.18485616464907512
56,Cândido dos Reis,Pias,916.73,4840,10407,15247,20,62,82,160,119,279,0.11001792831601014,0.24256844122211454,0.17545734659046822
57,Pias,Araújo,1258.13,4764,9893,14657,20,62,82,160,119,279,0.10828234352220026,0.23058641894858703,0.1686631551314898
58,Araújo,Custió,651.69,4734,9364,14098,22,62,84,160,119,279,0.10655891758987872,0.21825760328140595,0.16143113993701258
59,Custió,Parque de Maia,1418.51,4795,8537,13333,24,41,65,158,140,298,0.10809160377802328,0.19592308969269384,0.15161185337114713
60,Parque de Maia,Forum,824.81,4349,6884,11234,39,41,80,140,140,280,0.10082204253907222,0.15798366276548464,0.12954522938162466
61,Forum,Zona Industrial,1119.4,1585,2811,4397,19,21,40,67,67,134,0.07653179772292762,0.1329326531229174,0.10502317366438214
62,Zona Industrial,Mandim,1194.23,1322,2657,3980,21,21,42,67,67,134,0.06253297922823822,0.12563531732787298,0.0940841482780556
63,Mandim,Castêlo da Maia,1468.1,1193,2577,3770,35,23,58,65,46,111,0.05040360938567407,0.15737322808156454,0.09413574628810822
64,Castêlo da Maia,ISMAI,702.48,699,1296,1995,39,23,62,56,46,102,0.031330583583127077,0.07914020517847374,0.05156761737255524
65,Santo Ovídio,D. João II,463.71,14264,4793,19058,394,388,782,0,0,0,0.16761844331550688,0.057199348963223026,0.11283249880312052
66,D. João II,João de Deus,716.25,19703,7423,27126,394,394,788,0,0,0,0.2315196883035799,0.0872307712849741,0.159375229794277
67,João de Deus,C.M.Gaia,405.01,28033,13154,41188,380,394,774,0,0,0,0.34153795132111137,0.15457136363539334,0.24636374518652104
68,C.M.Gaia,General Torres,488.39,32829,15147,47976,396,390,786,0,0,0,0.3838052903182143,0.17981145726365438,0.28258697620717316
69,General Torres,Jardim do Morro,419.98,38463,15893,54356,396,400,796,0,0,0,0.44967240546383325,0.1839542935722724,0.3161457160710891
70,Jardim do Morro,São Bento,795.7,39018,17413,56431,366,374,740,0,0,0,0.49355729249399666,0.21555117117479247,0.35305149604347996
71,São Bento,Aliados,443.38,41369,27203,68572,414,414,828,0,0,0,0.46261940015661895,0.304207271132974,0.38341333564479646
72,Aliados,Trindade,450.27,40011,32347,72359,410,412,822,0,0,0,0.4518054121607654,0.36349256875483976,0.407541553908647
73,Trindade,Faria Guimaraes,555.34,29509,27938,57447,410,410,820,0,0,0,0.3332095950836285,0.315471338343516,0.32434046671357225
74,Faria Guimaraes,Marques,621.04,27629,26656,54285,416,410,826,0,0,0,0.30748675256921715,0.30099480914477944,0.30426435934401197
75,Marques,Combatentes,702.75,22366,20626,42992,408,406,814,0,0,0,0.2537907297688486,0.23520535889156058,0.2445208764811595
76,Combatentes,Salgueiros,471.25,20049,16321,36370,414,412,826,0,0,0,0.22420721218266645,0.18339854011844206,0.20385228132254482
77,Salgueiros,Polo Universitario,775.36,18628,13346,31974,414,412,826,0,0,0,0.2083128004471586,0.14997270245650537,0.17921338111041632
78,Polo Universitario,I.P.O.,827.64,13134,11494,24629,416,404,820,0,0,0,0.14617503034874874,0.13171912677673706,0.13905285346692833
79,I.P.O.,Hospital São João,351.77,4609,8193,12803,412,410,822,0,0,0,0.05180129870194128,0.09252484191466864,0.07211352828493181
80,Verdes (E) ,Botica,683.54,2793,5508,8302,123,134,257,0,0,0,0.1051486900625311,0.19033016186653673,0.14956237575022274
81,Botica,Aeroporto,649.66,2507,5133,7641,121,134,255,0,0,0,0.09594845045171782,0.17737700386911345,0.13873835695340808
82,Sra da Hora,Fonte do Cuco,687.03,14049,28550,42600,168,182,350,325,305,325,0.11939533470431485,0.2509840456387731,0.18462396809527257
