,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,4291,616,4908,228,112,340,0,0,0,0.08715074723827212,0.025495018687303674,0.06684062489207075
1,Venda Nova,Carreira,583.47,7599,1019,8618,226,110,336,0,0,0,0.1556720997030362,0.04291408983331607,0.11875727504330641
2,Carreira,Baguim,786.02,10344,1217,11561,190,77,267,0,0,0,0.2520529526509175,0.07319986317366003,0.20047359725859978
3,Baguim,Campainha,751.7,12470,1307,13778,190,95,285,0,0,0,0.30387165971968977,0.06371196942126918,0.22381842962021625
4,Campainha,Rio Tinto,859.99,15127,1725,16853,190,113,303,0,0,0,0.36860520205718156,0.07070051690624359,0.25750543498768985
5,Rio Tinto,Levada,452.83,16325,1929,18255,190,117,307,0,0,0,0.39779238309573406,0.07636147689600749,0.27529265662873725
6,Levada,Nau Vitória,1111.62,19765,2353,22119,190,117,307,0,0,0,0.4816142454142751,0.09314615229475952,0.33356614477915025
7,Nau Vitória,Nasoni,499.02,20362,2394,22756,190,117,307,0,0,0,0.49616331886558646,0.09474615852456261,0.3431802316997891
8,Nasoni,Contumil,650.0,20676,2418,23094,159,137,296,0,0,0,0.602031309759596,0.08172481611960523,0.3612137772302759
9,Contumil,Estádio do Dragão,619.19,22662,3246,25909,153,153,306,0,0,0,0.6857526615806688,0.09823427932056551,0.39199347045061717
10,Estádio do Dragão,Campanhã,1166.02,30442,7265,37707,220,157,377,135,119,254,0.3758325551853033,0.11455369321165615,0.26109158040398855
11,Campanhã,Heroismo,950.92,58146,15187,73334,322,206,528,241,219,460,0.4496335686304041,0.15371194003886712,0.3214624354162761
12,Heroismo,24 de Agosto,571.9,60177,17119,77297,302,212,514,241,211,452,0.4814202038346185,0.17447488952188744,0.3464369022912106
13,24 de Agosto,Bolhão,680.44,68332,22669,91002,285,218,503,241,222,463,0.5632059363268411,0.2219366277786886,0.4072194491949298
14,Bolhão,Trindade,451.8,67014,31868,98882,287,220,507,241,233,474,0.5503816452730477,0.30263101149516675,0.4354839391666373
15,Trindade,Lapa,857.4300000000001,66897,61979,128876,325,290,615,241,237,478,0.5147230428681245,0.5104695780509365,0.5126686611881301
16,Lapa,Carolina Michaelis,460.97,61218,64192,125411,332,287,619,224,239,463,0.4810393311844063,0.5293605793927014,0.5046166659021472
17,Carolina Michaelis,Casa da Música,627.48,55629,66311,121940,336,309,645,202,239,441,0.45347859218806275,0.5262121528244015,0.4903343808756908
18,Casa da Música,Francos,871.87,46849,67968,114818,311,325,636,202,237,439,0.399497030999879,0.5269862733370991,0.4662713906685273
19,Francos,Ramalde,965.03,42530,68281,110811,305,335,640,211,220,431,0.3597899874275278,0.5379917463513849,0.4520575669884753
20,Ramalde,Viso,621.15,41204,66539,107743,302,345,647,185,219,404,0.3708349167551315,0.516482557304575,0.44903681731220274
21,Viso,Sete Bicas,743.81,38483,65095,103578,285,330,615,183,219,402,0.3598428635720027,0.5183056625832826,0.4454281486608692
22,Sete Bicas,Sra da Hora,674.5,34964,64470,99434,278,336,614,183,219,402,0.33162717266438174,0.5080860568964551,0.4280050777196474
23,Sra da Hora,Vasco da Gama,824.48,13678,12201,25880,163,187,350,0,0,0,0.38851844323579465,0.30206852570713083,0.34232948729905144
24,Vasco da Gama,Estádio do Mar,661.6,14188,9999,24188,156,201,357,0,0,0,0.4210687479445358,0.23032542995752298,0.3136754512627723
25,Estádio do Mar,Pedro Hispano,786.97,13864,9374,23239,172,225,397,0,0,0,0.37319524756954553,0.19289576266840575,0.27101040096310614
26,Pedro Hispano,Parque de Real,656.68,12668,8271,20939,170,225,395,0,0,0,0.3449904944755591,0.17018682097417692,0.24541878172160722
27,Parque de Real,C. Matosinhos,723.67,11338,7509,18847,164,187,351,0,0,0,0.32007354351354605,0.18591874821254994,0.24860076083181876
28,C. Matosinhos,Matosinhos Sul,616.61,7532,5651,13184,162,187,349,0,0,0,0.21525754041905465,0.13992412402790494,0.17489264395732115
29,Matosinhos Sul,Brito Capelo,535.72,2752,3728,6480,141,191,332,0,0,0,0.09037014305904863,0.09037427604239963,0.09037252076934996
30,Brito Capelo,Mercado,487.53,1262,2675,3938,134,217,351,0,0,0,0.04363519802608333,0.05707555640617293,0.05194447941776265
31,Mercado,Sr. de Matosinhos,708.96,351,938,1290,143,206,349,0,0,0,0.011371348939848338,0.021103020496216728,0.01711554475822051
33,Fonte do Cuco,Custoias,689.2,11774,32233,44008,40,40,80,117,139,256,0.31268497968670567,0.7476715254705191,0.544870250608751
34,Custoias,Esposade,1779.24,11489,31456,42946,40,40,80,117,158,275,0.3051238193085543,0.6577566559939911,0.5024133932632142
35,Esposade,Crestins,2035.56,11356,30994,42351,40,40,80,99,158,257,0.3421388168906736,0.6481051124721406,0.522751684964734
36,Crestins,Verdes,591.8199999999999,11097,30408,41505,40,40,80,98,158,256,0.3368546393063957,0.6358402377164627,0.5138887030242424
37,Verdes,Pedras Rubras,960.78,8267,28812,37079,0,0,0,98,187,285,0.3401863667938403,0.6212709104989093,0.52461727792664
38,Pedras Rubras,Lidador,1147.58,7573,25392,32966,0,0,0,98,193,291,0.31160824788543995,0.5305175105791254,0.4567954908403585
39,Lidador,Vilar do Pinheiro,1987.51,7401,24427,31828,0,0,0,98,194,292,0.30453018440428115,0.5077184258821895,0.43952511196152166
40,Vilar do Pinheiro,Modivas Sul,2037.38,7373,23521,30895,0,0,0,98,179,277,0.3033849137518252,0.5298623184429287,0.4497367384439101
41,Modivas Sul,Modivas Centro,1051.08,7451,23218,30669,0,0,0,98,176,274,0.3065875779173104,0.5319481894536443,0.451344759050138
42,Modivas Centro,Modivas Norte,852.51,7685,22916,30602,0,0,0,98,177,275,0.31623928837508014,0.5220716141610493,0.44872045806277666
43,Modivas Norte,Mindelo,1834.12,7365,21772,29138,0,0,0,98,177,275,0.3030662326678846,0.49600875429711855,0.42725105568015515
44,Mindelo,Espaço Natureza,776.86,7001,20210,27212,0,0,0,96,178,274,0.2941003204915131,0.4578322579641248,0.40046632366715135
45,Espaço Natureza,Varziela,1539.0,6657,20301,26959,0,0,0,94,178,272,0.28557586704795096,0.4598969868540559,0.39965365868576963
46,Varziela,Árvore,858.71,6199,18485,24685,0,0,0,89,178,267,0.2808901663372472,0.4187495666455965,0.3727964332094801
47,Árvore,Azurara,664.57,6320,18294,24615,0,0,0,75,178,253,0.33979324013346324,0.414438004881838,0.3923101101935846
48,Azurara,Santa Clara,1218.09,6368,17993,24362,0,0,0,60,177,237,0.42801797731399105,0.4099215293471388,0.4145029085792533
49,Santa Clara,Vila do Conde,670.57,5669,17741,23410,0,0,0,58,175,233,0.39411898508362464,0.40879381712870516,0.40514085464538047
50,Vila do Conde,Alto de Pega,730.41,3049,14056,17105,0,0,0,57,175,232,0.21569676549691708,0.32389128738819223,0.29730901261318066
51,Alto de Pega,Portas Fronhas,671.05,2520,13758,16278,0,0,0,55,175,230,0.18476617555890298,0.31701720150168217,0.2853919561675394
52,Portas Fronhas,São Brás,562.21,2206,10078,12285,0,0,0,61,175,236,0.14583309390200613,0.23223435139577195,0.20990182297577314
53,São Brás,Póvoa de Varzim,624.94,2136,9465,11601,0,0,0,59,175,234,0.14598544010000233,0.2180875576038193,0.1999079638742244
55,Fonte do Cuco,Cândido dos Reis,913.51,14677,23289,37967,77,116,193,66,80,146,0.44477553731763686,0.5187489651642583,0.4874107306087162
