,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
52,Santa Clara,Vila do Conde,670.57,2806,1308,4114,0,0,0,130,86,216,0.08704782328775375,0.06133832427560159,0.07681163386624873
53,Vila do Conde,Alto de Pega,730.41,2095,749,2844,0,0,0,127,86,213,0.06652486191795874,0.035136103941674816,0.05385146667870795
54,Alto de Pega,Portas Fronhas,671.05,2056,706,2762,0,0,0,144,87,231,0.05758784682648913,0.03274030379939334,0.04822968127082968
55,Portas Fronhas,São Brás,562.21,1554,599,2154,0,0,0,160,87,247,0.03917135938212575,0.027807901761665907,0.03516884596925123
56,São Brás,Póvoa de Varzim,624.94,1501,589,2090,0,0,0,166,87,253,0.03648453708740388,0.02729885057471265,0.03332582275300018
57,Sra da Hora,Fonte do Cuco,685.98,4242,2099,6341,24,46,70,111,76,187,0.1296813449195009,0.07292357011248303,0.10311513264479683
58,Fonte do Cuco,Cândido dos Reis,913.51,4136,2130,6266,56,46,102,111,76,187,0.10438999983859201,0.0740077337588204,0.09160606891179768
59,Cândido dos Reis,Pias,916.73,3925,2077,6002,56,46,102,111,75,186,0.09905697326384857,0.07278643910832791,0.08805849963324502
60,Pias,Araújo,1258.13,3796,2031,5828,56,46,102,113,75,188,0.09463570802744863,0.07119976564902644,0.08489485432623306
61,Araújo,Custió,651.69,3670,2000,5671,56,46,102,113,75,188,0.09148536660989705,0.07011906944896215,0.08260473482557466
62,Custió,Parque de Maia,1418.51,3354,1945,5300,60,12,72,112,75,187,0.08235494901511045,0.0917929533936982,0.08558467044630524
63,Parque de Maia,Forum,824.81,2830,1824,4655,60,6,66,124,75,199,0.06475755262548112,0.09170073291921146,0.0731851327274189
64,Forum,Zona Industrial,1119.4,1265,932,2198,44,0,44,44,41,85,0.062002426586393114,0.09175660122368001,0.07189454166983325
65,Zona Industrial,Mandim,1194.23,1230,784,2014,44,0,44,44,41,85,0.0602519553224218,0.07715937249105403,0.06587301920453835
66,Mandim,Castêlo da Maia,1468.1,1184,739,1924,44,0,44,50,41,91,0.05408801391303907,0.07274733502160366,0.06000370289507589
67,Castêlo da Maia,ISMAI,702.48,589,573,1163,44,0,44,64,42,106,0.023228582478541687,0.055107526881720416,0.03250582557486236
68,Santo Ovídio,D. João II,463.71,1738,5221,6959,147,252,399,0,0,0,0.054736709498614276,0.09592451378341012,0.08075005957322218
69,D. João II,João de Deus,716.25,2572,7746,10318,147,252,399,0,0,0,0.08102120626244397,0.14230733979663965,0.11972823796825176
70,João de Deus,C.M.Gaia,405.01,5267,11725,16993,147,252,399,0,0,0,0.1659069848374807,0.21541937041153997,0.19717796520004444
71,C.M.Gaia,General Torres,488.39,6009,13303,19312,147,234,381,0,0,0,0.18924886852899872,0.2632029765460108,0.2346695017992896
72,General Torres,Jardim do Morro,419.98,6389,15066,21455,147,212,359,0,0,0,0.20123406738602018,0.32901724132390664,0.2766937689872233
73,Jardim do Morro,São Bento,795.7,6824,15773,22598,157,210,367,0,0,0,0.20124084188378122,0.34774873959598795,0.2850736988853164
74,São Bento,Aliados,443.38,9231,17697,26929,189,229,418,0,0,0,0.22613931061963966,0.3577870274430893,0.2982621028506683
75,Aliados,Trindade,450.27,11253,18360,29613,187,231,418,0,0,0,0.27860697046420346,0.3679708243902722,0.3279922581601888
76,Trindade,Faria Guimaraes,555.34,12597,15490,28088,168,231,399,0,0,0,0.3471613574523549,0.31045164029006067,0.3259083633057635
77,Faria Guimaraes,Marques,621.04,11864,15095,26959,168,191,359,0,0,0,0.32694590686027786,0.36590403976625835,0.3476729357879722
78,Marques,Combatentes,702.75,9356,12867,22223,170,189,359,0,0,0,0.25480498086274844,0.3151888205393771,0.28659480175100144
79,Combatentes,Salgueiros,471.25,7930,11980,19911,170,189,359,0,0,0,0.21598408317822868,0.2934731912405088,0.2567791846372007
80,Salgueiros,Polo Universitario,775.36,6726,11592,18318,172,189,361,0,0,0,0.18104878706259753,0.2839616027122038,0.23492834982651883
81,Polo Universitario,I.P.O.,827.64,5456,8197,13654,210,189,399,0,0,0,0.12028989997789592,0.20080520484594874,0.15842872859960513
82,I.P.O.,Hospital São João,351.77,3143,3998,7141,204,187,391,0,0,0,0.07133921637284638,0.09897999603881957,0.0845587196913553
83,Verdes (E) ,Botica,683.54,763,2264,3028,107,63,170,0,0,0,0.03304499550166783,0.16641214908466292,0.08246929359418956
84,Botica,Aeroporto,649.66,650,2120,2771,109,63,172,0,0,0,0.02762051525038173,0.15586419753086417,0.0745934918996282
