,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
53,Vila do Conde,Alto de Pega,730.41,53245,57447,110693,0,0,0,2014,2073,4087,0.10660425557325806,0.11174366088875777,0.10921105450133022
54,Alto de Pega,Portas Fronhas,671.05,50251,54382,104633,0,0,0,2015,2076,4091,0.10055847505053124,0.10562798548108845,0.10313102544257152
55,Portas Fronhas,São Brás,562.21,38429,41956,80385,0,0,0,2017,2077,4094,0.07682519979558446,0.08145332412317201,0.07917317591390378
56,São Brás,Póvoa de Varzim,624.94,36622,40011,76633,0,0,0,2022,2080,4102,0.07303196965375675,0.07756474875930523,0.07533040469508802
57,Sra da Hora,Fonte do Cuco,685.98,138585,138541,277127,926,969,1895,1531,1466,2997,0.23906334806360294,0.24183662159426614,0.2404417654122707
58,Fonte do Cuco,Cândido dos Reis,913.51,134848,138013,272861,925,957,1882,1531,1462,2993,0.23270211186116313,0.2424309907829964,0.23752335988832649
59,Cândido dos Reis,Pias,916.73,129581,133140,262722,925,959,1884,1531,1462,2993,0.2236141205871387,0.23369442953286543,0.22861143492236732
60,Pias,Araújo,1258.13,125968,129178,255146,925,957,1882,1531,1462,2993,0.2173787074092754,0.2269125175858381,0.22210328707301752
61,Araújo,Custió,651.69,122631,124394,247026,927,959,1886,1531,1462,2993,0.21146357607254856,0.21834271175346326,0.21487262688856984
62,Custió,Parque de Maia,1418.51,117095,118330,235425,925,957,1882,1531,1462,2993,0.2020664823406145,0.20785658407199264,0.20493582800456708
63,Parque de Maia,Forum,824.81,102754,102055,204810,923,957,1880,1531,1463,2994,0.17745180566554664,0.17919127380070687,0.17831433102165797
64,Forum,Zona Industrial,1119.4,54412,54995,109408,516,439,955,955,929,1884,0.15622540771732793,0.16910451049654365,0.16244428769191696
65,Zona Industrial,Mandim,1194.23,50977,51298,102276,518,439,957,955,929,1884,0.1461799367826077,0.1577382325500424,0.151757466542205
66,Mandim,Castêlo da Maia,1468.1,47779,47954,95734,516,439,955,955,930,1885,0.13718216402707314,0.14734063472870912,0.14208927710656327
67,Castêlo da Maia,ISMAI,702.48,32821,31803,64624,516,439,955,955,931,1886,0.09423320903110713,0.09764147467701528,0.09588024144030707
68,Santo Ovídio,D. João II,463.71,157095,129354,286449,5771,5829,11600,0,0,0,0.1260252411482701,0.10273883993873485,0.11432382454047864
69,D. João II,João de Deus,716.25,213946,192725,406671,5777,5835,11612,0,0,0,0.17145462172319673,0.15291276417519092,0.1621373862088483
70,João de Deus,C.M.Gaia,405.01,326129,303780,629909,5787,5841,11628,0,0,0,0.2609050882206207,0.24077899447151252,0.25079530893024055
71,C.M.Gaia,General Torres,488.39,375631,344730,720362,5783,5843,11626,0,0,0,0.30071532663423606,0.27314326283937235,0.28685814714400826
72,General Torres,Jardim do Morro,419.98,420183,385661,805844,5781,5843,11624,0,0,0,0.33649792664128336,0.30557406998421244,0.320953527600741
73,Jardim do Morro,São Bento,795.7,431771,403943,835714,5785,5843,11628,0,0,0,0.3455388518046416,0.3200594010571312,0.33273558118908403
74,São Bento,Aliados,443.38,506436,498365,1004802,5785,5841,11626,0,0,0,0.405292175992099,0.39500935403398096,0.400125999916289
75,Aliados,Trindade,450.27,536237,528392,1064629,5783,5841,11624,0,0,0,0.42928948475130957,0.4188086205689738,0.42402290459912245
76,Trindade,Faria Guimaraes,555.34,491155,478514,969669,5837,5790,11627,0,0,0,0.38956094463097724,0.38261555963215704,0.3861022898495917
77,Faria Guimaraes,Marques,621.04,470278,461547,931825,5835,5792,11627,0,0,0,0.37312990573798294,0.3689215838126489,0.3710335265695358
78,Marques,Combatentes,702.75,389215,374963,764179,5837,5790,11627,0,0,0,0.30870731082666636,0.29981743029353264,0.3042803384101493
79,Combatentes,Salgueiros,471.25,348710,333653,682364,5841,5794,11635,0,0,0,0.27639149244427563,0.2666023279090151,0.2715166820173483
80,Salgueiros,Polo Universitario,775.36,319585,305563,625148,5841,5796,11637,0,0,0,0.2533062376839888,0.24407276401890357,0.24870735366209018
81,Polo Universitario,I.P.O.,827.64,240491,238227,478719,5814,5764,11578,0,0,0,0.19150105280583013,0.1913440320943129,0.19142288149980272
82,I.P.O.,Hospital São João,351.77,102617,119519,222136,5796,5746,11542,0,0,0,0.08196704258938733,0.09629806886594218,0.08910151468998379
83,Verdes (E) ,Botica,683.54,30783,56249,87032,1607,1567,3174,0,0,0,0.08868434288035892,0.1661852097329534,0.12694642805931783
84,Botica,Aeroporto,649.66,26892,51694,78586,1607,1567,3174,0,0,0,0.07747368680588147,0.15272755205748187,0.11462642998460165
