,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,540,482,1022,102,162,264,0,0,0,0.024509803921568634,0.013775029582751628,0.017922556031840016
4,Venda Nova,Carreira,583.47,1025,842,1868,89,160,249,0,0,0,0.053339401037295675,0.02438339454203549,0.03473313180339355
5,Carreira,Baguim,786.02,1487,1082,2570,82,137,219,0,0,0,0.08399643897585653,0.036577458717051536,0.05433251068610181
6,Baguim,Campainha,751.7,1832,1202,3035,103,133,236,0,0,0,0.08238718083290648,0.04184643621354649,0.05954006628047055
7,Campainha,Rio Tinto,859.99,2438,1539,3977,103,137,240,0,0,0,0.10960894173226005,0.05201623606371584,0.0767331055797994
8,Rio Tinto,Levada,452.83,2833,1788,4622,103,144,247,0,0,0,0.12735118859521785,0.057510518027548446,0.08663436041001787
9,Levada,Nau Vitória,1111.62,3629,2345,5975,102,144,246,0,0,0,0.1647504910234962,0.07541143596504361,0.11245445879415811
10,Nau Vitória,Nasoni,499.02,3830,2410,6241,103,145,248,0,0,0,0.172184358947202,0.07695838520851667,0.11650788236611581
11,Nasoni,Contumil,650.0,3993,2450,6444,99,134,233,0,0,0,0.18676237177216515,0.08467481624487072,0.12805107374359237
12,Contumil,Estádio do Dragão,619.19,4786,3177,7964,87,129,216,0,0,0,0.2547248961329384,0.11405076380307877,0.1707111782137167
13,Estádio do Dragão,Campanhã,1166.02,8233,6462,14696,184,247,431,102,124,226,0.12659122837270947,0.07684111653131703,0.09853657376837763
14,Campanhã,Heroismo,950.92,18380,12174,30555,224,257,481,183,248,431,0.19602084635375608,0.10404229469708179,0.14495927526364774
15,Heroismo,24 de Agosto,571.9,19794,13313,33108,214,245,459,183,248,431,0.21608289396652125,0.11635019586460338,0.16069434147169595
16,24 de Agosto,Bolhão,680.44,25928,17160,43089,247,235,482,174,248,422,0.26867334376193924,0.15286253770470387,0.20639663310125622
17,Bolhão,Trindade,451.8,29522,24495,54017,253,213,466,165,250,415,0.308910974807643,0.2267947676074097,0.2653439172601777
18,Trindade,Lapa,857.4300000000001,31573,34666,66239,265,201,466,168,233,401,0.31923327639496524,0.342554331036789,0.33102759699701506
19,Lapa,Carolina Michaelis,460.97,31182,34229,65411,262,197,459,174,225,399,0.3126244602153263,0.3480301737432049,0.3302029208449903
20,Carolina Michaelis,Casa da Música,627.48,29082,32290,61373,247,208,455,203,200,403,0.28046237850030237,0.3415940063459864,0.3096145019414438
21,Casa da Música,Francos,871.87,24021,27281,51303,238,215,453,213,195,408,0.23046552259218167,0.2877840559587718,0.257766644839623
22,Francos,Ramalde,965.03,21807,25068,46875,241,211,452,238,195,433,0.19631816537215357,0.2668726034698882,0.2286454066467312
23,Ramalde,Viso,621.15,21197,23380,44578,263,211,474,225,207,432,0.18824427575904848,0.24125855071241126,0.21276565517046644
24,Viso,Sete Bicas,743.81,19724,21645,41370,276,211,487,226,204,430,0.17053664157131304,0.22508260513399195,0.19529954908243366
25,Sete Bicas,Sra da Hora,674.5,16355,20555,36911,285,214,499,211,195,406,0.1436112687140219,0.21732701152743583,0.17705619090148084
26,Sra da Hora,Vasco da Gama,824.48,6768,6372,13140,144,122,266,0,0,0,0.21759361457122853,0.24183488472147144,0.22871179110630235
27,Vasco da Gama,Estádio do Mar,661.6,6944,6107,13052,133,123,256,0,0,0,0.24172239818856428,0.2298966638200174,0.23604050237867652
28,Estádio do Mar,Pedro Hispano,786.97,6532,6129,12662,142,123,265,0,0,0,0.21297509082915897,0.2307214401322939,0.221212075600048
29,Pedro Hispano,Parque de Real,656.68,6083,5334,11418,143,123,266,0,0,0,0.196963615328529,0.20080388154961096,0.198739377528503
30,Parque de Real,C. Matosinhos,723.67,5937,5042,10979,149,136,285,0,0,0,0.18448279410312313,0.1716528974228393,0.17836045744165435
31,C. Matosinhos,Matosinhos Sul,616.61,4436,3518,7955,148,142,290,0,0,0,0.13878713828473715,0.11472072218255877,0.12700289315884292
