,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,248,904,1153,63,166,229,0,0,0,0.01829805996466002,0.02522201584038652,0.023317172084182283
1,Venda Nova,Carreira,583.47,385,1779,2164,71,166,237,0,0,0,0.025125098912843747,0.049618652668978476,0.04228092137494655
2,Carreira,Baguim,786.02,458,2127,2586,84,166,250,0,0,0,0.0252792643703755,0.05934511208443143,0.047898987252508636
3,Baguim,Campainha,751.7,548,2405,2953,84,166,250,0,0,0,0.030239700906379622,0.06707886795304153,0.05470090782536313
4,Campainha,Rio Tinto,859.99,726,2988,3715,85,166,251,0,0,0,0.039570322196981235,0.08335279133217648,0.06852605875651276
5,Rio Tinto,Levada,452.83,802,3493,4295,85,166,251,0,0,0,0.043686088301973354,0.09743411378233169,0.07923259120930197
6,Levada,Nau Vitória,1111.62,1444,4210,5654,85,166,251,0,0,0,0.07867103498809688,0.11742136243482651,0.10429874158633241
7,Nau Vitória,Nasoni,499.02,1498,4321,5820,85,166,251,0,0,0,0.081623070879983,0.12052789823713368,0.10735295670184361
8,Nasoni,Contumil,650.0,1558,4360,5919,103,170,273,0,0,0,0.07003432986825868,0.11876031140393506,0.10037651617252603
9,Contumil,Estádio do Dragão,619.19,1860,5001,6862,105,147,252,0,0,0,0.0820318659647246,0.1575281684720236,0.126071375760649
10,Estádio do Dragão,Campanhã,1166.02,3912,7571,11483,107,210,317,86,108,194,0.08803278403715722,0.1049440453106056,0.09849773663195291
11,Campanhã,Heroismo,950.92,8216,12224,20441,110,225,335,152,216,368,0.13370148292570933,0.11965328620559167,0.12492968806370265
12,Heroismo,24 de Agosto,571.9,8870,13076,21946,109,223,332,167,200,367,0.13655246014300076,0.133747316563687,0.13486711233892063
13,24 de Agosto,Bolhão,680.44,11972,15280,27252,115,223,338,167,199,366,0.18070609014337688,0.15668707284076352,0.1664040277694585
14,Bolhão,Trindade,451.8,16556,16801,33357,131,223,354,167,202,369,0.23749636598005147,0.170978999536432,0.19858448275735407
15,Trindade,Lapa,857.4300000000001,22711,24136,46848,215,267,482,167,199,366,0.25851262789600865,0.22552348572684833,0.24039568438455436
16,Lapa,Carolina Michaelis,460.97,20980,24242,45222,215,271,486,175,190,365,0.23352738598126438,0.2294491007927219,0.2313232728542406
17,Carolina Michaelis,Casa da Música,627.48,20097,23093,43190,221,282,503,176,184,360,0.2199225688818698,0.2167516921114163,0.21821569620781056
18,Casa da Música,Francos,871.87,19190,18548,37738,250,271,521,167,182,349,0.20112073026784763,0.1789104174988744,0.18955505305282216
19,Francos,Ramalde,965.03,18091,17498,35589,253,281,534,176,182,358,0.1840473227004856,0.16534508935839456,0.1743509813898365
20,Ramalde,Viso,621.15,17096,17257,34354,256,258,514,177,182,359,0.1723562289291831,0.17110086607559782,0.1717233015545279
21,Viso,Sete Bicas,743.81,16663,16083,32747,257,244,501,168,182,350,0.1714818761849066,0.164387147068729,0.16792243338674226
22,Sete Bicas,Sra da Hora,674.5,15300,12905,28205,242,241,483,178,179,357,0.15868987138348542,0.13380592473271785,0.14624583368555719
23,Sra da Hora,Vasco da Gama,824.48,4835,5924,10759,146,146,292,0,0,0,0.15331734811865694,0.18785625496201355,0.17058680154033523
24,Vasco da Gama,Estádio do Mar,661.6,4294,5911,10206,160,138,298,0,0,0,0.12427137046290036,0.19832219108987192,0.15856336122304154
25,Estádio do Mar,Pedro Hispano,786.97,4117,5918,10036,184,132,316,0,0,0,0.10360694892885675,0.20759669571076772,0.14704570391370564
26,Pedro Hispano,Parque de Real,656.68,3814,5619,9434,180,128,308,0,0,0,0.09811038430973532,0.20326762379458388,0.14181209422551652
27,Parque de Real,C. Matosinhos,723.67,3535,5477,9013,176,128,304,0,0,0,0.09300965828380343,0.198128935781167,0.137270406703746
28,C. Matosinhos,Matosinhos Sul,616.61,2726,4378,7104,180,128,308,0,0,0,0.07012983298219709,0.15835145656873958,0.10679336486231863
29,Matosinhos Sul,Brito Capelo,535.72,1275,1312,2587,186,114,300,0,0,0,0.031754235448608434,0.053282094175758306,0.03993482176492539
30,Brito Capelo,Mercado,487.53,680,834,1515,205,86,291,0,0,0,0.01536973324982804,0.04492283320581176,0.02410363907874419
31,Mercado,Sr. de Matosinhos,708.96,133,185,319,204,85,289,0,0,0,0.003031222516930306,0.010130718954200785,0.0051193097043628
33,Fonte do Cuco,Custoias,689.2,5853,6060,11913,83,84,167,86,88,174,0.1491108619303553,0.15163352243839895,0.15038352798086385
34,Custoias,Esposade,1779.24,5705,5979,11685,84,84,168,87,85,172,0.14364484105972658,0.15244952290041203,0.14801952235936996
35,Esposade,Crestins,2035.56,5623,5930,11554,84,84,168,86,85,171,0.14247365167990383,0.15120284687475763,0.14682449482724227
36,Crestins,Verdes,591.8199999999999,5565,5880,11445,84,84,168,105,85,190,0.1259520172295614,0.14992003326318243,0.13722337562327364
37,Verdes,Pedras Rubras,960.78,4237,2537,6775,0,0,0,107,85,192,0.15969351649771096,0.12039605810324375,0.14229620418766037
