,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,566,912,1478,79,79,158,0,0,0,0.03316924519456166,0.053463829938178116,0.043316537566369884
4,Venda Nova,Carreira,583.47,1049,1607,2656,79,79,158,0,0,0,0.0615109646876998,0.09417827536294521,0.0778446200253225
5,Carreira,Baguim,786.02,1534,2026,3561,78,80,158,0,0,0,0.09108734951046801,0.117274980054467,0.10434690927958142
6,Baguim,Campainha,751.7,1921,2179,4100,69,82,151,0,0,0,0.12891380664334773,0.12303958272144591,0.1257238307387388
7,Campainha,Rio Tinto,859.99,2615,2601,5217,81,76,157,0,0,0,0.14948674833715614,0.15849920627402111,0.15384946682888695
8,Rio Tinto,Levada,452.83,3034,2955,5989,80,78,158,0,0,0,0.1755970283585915,0.1753921909657657,0.1754959061013737
9,Levada,Nau Vitória,1111.62,3882,3825,7708,80,78,158,0,0,0,0.2246935040091007,0.22707041617618812,0.22586691634475145
10,Nau Vitória,Nasoni,499.02,4176,3899,8076,80,79,159,0,0,0,0.24170715128270318,0.2285186710298232,0.23515438436460556
11,Nasoni,Contumil,650.0,4291,3979,8271,80,79,159,0,0,0,0.24837097332719393,0.23323604450365443,0.24085110303122145
12,Contumil,Estádio do Dragão,619.19,5032,4729,9762,77,79,156,0,0,0,0.30259489127653616,0.2771874338699909,0.2897282942565549
13,Estádio do Dragão,Campanhã,1166.02,8943,8724,17667,210,211,421,95,95,190,0.12976577416824753,0.1261928307118072,0.1279765073576456
14,Campanhã,Heroismo,950.92,17319,17089,34409,213,216,429,167,168,335,0.19811431912843708,0.1934962106589711,0.1957934925851512
15,Heroismo,24 de Agosto,571.9,18968,18832,37800,202,212,414,182,168,350,0.21368736853831358,0.2153328227455578,0.2145039703811315
16,24 de Agosto,Bolhão,680.44,25221,23453,48675,199,214,413,182,169,351,0.28621442971109967,0.2661111146473893,0.2761618597194104
17,Bolhão,Trindade,451.8,30886,31102,61989,204,214,418,170,170,340,0.35821253367658074,0.3519065675554366,0.3550205464271351
18,Trindade,Lapa,857.4300000000001,36006,43525,79532,197,215,412,173,172,345,0.4213511889299793,0.4885194196022708,0.45563564674185475
19,Lapa,Carolina Michaelis,460.97,35756,42688,78444,203,219,422,170,169,339,0.41572907149623695,0.47848351879853135,0.4476807491803527
20,Carolina Michaelis,Casa da Música,627.48,34194,39995,74189,209,216,425,162,169,331,0.4007757406587039,0.4515822862994205,0.4266535133302338
21,Casa da Música,Francos,871.87,31509,33207,64717,210,210,420,167,178,345,0.36311508525754943,0.37101683466454627,0.36712710124872167
22,Francos,Ramalde,965.03,29477,30316,59794,213,186,399,172,184,356,0.33246276648706646,0.35330662100277976,0.342714093165756
23,Ramalde,Viso,621.15,27840,28920,56760,209,192,401,173,174,347,0.31619746329615256,0.34174729361613543,0.3287190582333643
24,Viso,Sete Bicas,743.81,26627,27234,53861,208,210,418,172,170,342,0.3040170620709563,0.3111824605459704,0.3075984518423677
25,Sete Bicas,Sra da Hora,674.5,22947,25831,48778,209,213,422,169,171,340,0.2635896612671006,0.2921585220008258,0.2779848034586357
26,Sra da Hora,Vasco da Gama,824.48,8662,8127,16790,120,120,240,0,0,0,0.3342040604134773,0.31355837185681373,0.3238812161351455
27,Vasco da Gama,Estádio do Mar,661.6,8689,7797,16487,121,120,241,0,0,0,0.33246955820395946,0.300841007175425,0.31672090209016635
28,Estádio do Mar,Pedro Hispano,786.97,8487,7847,16335,123,120,243,0,0,0,0.3194736452134349,0.30275392463346107,0.3112169930751762
29,Pedro Hispano,Parque de Real,656.68,7853,7218,15071,118,122,240,0,0,0,0.30812718567666386,0.27390947940317784,0.2907331849876418
30,Parque de Real,C. Matosinhos,723.67,7674,6738,14413,123,123,246,0,0,0,0.2888766255762018,0.25362228443901425,0.27124945500760805
31,C. Matosinhos,Matosinhos Sul,616.61,6052,4960,11013,120,120,240,0,0,0,0.23352029599334242,0.19138481778041816,0.21245255688688028
32,Matosinhos Sul,Brito Capelo,535.72,2559,2291,4851,120,120,240,0,0,0,0.09876360368053048,0.08841991280183155,0.09359175824118102
33,Brito Capelo,Mercado,487.53,1248,1269,2518,122,121,243,0,0,0,0.04739447274034869,0.04856282523785928,0.04797624497161939
34,Mercado,Sr. de Matosinhos,708.96,270,283,553,122,120,242,0,0,0,0.010253914337983285,0.010918209876543213,0.010583317084376636
35,Sra da Hora,Fonte do Cuco,687.03,8665,12316,20981,90,90,180,95,95,190,0.20151673083725613,0.2864238464627008,0.2439702886499785
36,Fonte do Cuco,Custoias,689.2,8255,12047,20302,90,90,180,94,95,189,0.19309792204362022,0.2801683848187873,0.2367590599684755
37,Custoias,Esposade,1779.24,8033,11832,19866,90,90,180,90,95,185,0.19238244617490574,0.2751656994741807,0.23437961337486826
38,Esposade,Crestins,2035.56,7919,11723,19642,90,90,180,98,95,193,0.18104238696062727,0.2726370853500154,0.22644693402721044
39,Crestins,Verdes,591.8199999999999,7857,11611,19468,90,90,180,95,95,190,0.18272218283230487,0.27002609093225327,0.2263741368822791
40,Verdes,Pedras Rubras,960.78,5985,6130,12115,0,0,0,95,95,190,0.2540523056973148,0.26019865663119923,0.25712548116425704
