,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
54,Alto de Pega,Portas Fronhas,671.05,2025,10025,12050,0,0,0,46,198,244,0.1775369033844723,0.2041718500964874,0.19915050768356649
55,Portas Fronhas,São Brás,562.21,1772,7463,9236,0,0,0,40,198,238,0.17868559985080384,0.15199466237545936,0.15648053422005506
56,São Brás,Póvoa de Varzim,624.94,1725,7043,8768,0,0,0,40,198,238,0.17390249289636525,0.14343027044639947,0.14855165237076348
57,Sra da Hora,Fonte do Cuco,685.98,11072,19746,30819,134,120,254,40,60,100,0.2849139806518201,0.4839793761999924,0.386865528883963
58,Fonte do Cuco,Cândido dos Reis,913.51,11062,19628,30690,134,118,252,26,60,86,0.3125693211808921,0.4862326057303208,0.405104161079141
59,Cândido dos Reis,Pias,916.73,11044,18799,29844,134,118,252,26,60,86,0.31206381059565946,0.4657037485891217,0.393929399520159
60,Pias,Araújo,1258.13,11159,17891,29051,134,118,252,26,60,86,0.3153175577891002,0.44321066342248955,0.38346419042121027
61,Araújo,Custió,651.69,11037,17005,28043,132,118,250,26,60,86,0.3157056491669852,0.4212735493689931,0.3722791012081207
62,Custió,Parque de Maia,1418.51,10898,15845,26743,119,158,277,26,60,86,0.3389554229775531,0.32332414537493415,0.32951656574801697
63,Parque de Maia,Forum,824.81,10360,12835,23195,114,158,272,26,60,86,0.33342922796653696,0.26190275344495423,0.28965588301956235
64,Forum,Zona Industrial,1119.4,6597,6698,13295,74,80,154,26,20,46,0.2940962397676514,0.30119759544545294,0.2976316568135483
65,Zona Industrial,Mandim,1194.23,5408,6645,12054,72,80,152,26,23,49,0.24586211129873675,0.2891183142125086,0.2679633154551064
66,Mandim,Castêlo da Maia,1468.1,4096,6529,10626,54,94,148,26,26,52,0.2261722924194526,0.24408371894399156,0.2368527150831577
67,Castêlo da Maia,ISMAI,702.48,3100,3315,6416,34,94,128,26,26,52,0.22481286792221403,0.12395334928229657,0.15826309871702776
68,Santo Ovídio,D. João II,463.71,24832,3241,28074,402,278,680,0,0,0,0.2859890362999815,0.0539863644191987,0.1911408851487203
69,D. João II,João de Deus,716.25,31984,5058,37043,398,318,716,0,0,0,0.37205465658102455,0.07364183177105196,0.23951935170732164
70,João de Deus,C.M.Gaia,405.01,40076,9538,49614,398,278,676,0,0,0,0.46617522983632975,0.1588447811798819,0.3397878559805716
71,C.M.Gaia,General Torres,488.39,44583,11114,55698,376,278,654,0,0,0,0.5489492985945235,0.18509630322334605,0.3942839580544817
72,General Torres,Jardim do Morro,419.98,50665,11577,62242,398,296,694,0,0,0,0.5893494107166811,0.18107182078218628,0.41521372394346723
73,Jardim do Morro,São Bento,795.7,51269,12255,63524,398,318,716,0,0,0,0.5963758392745817,0.1784193864007541,0.4107471353445857
74,São Bento,Aliados,443.38,53770,17372,71143,366,318,684,0,0,0,0.6801595295920079,0.25292392117763907,0.481532448487082
75,Aliados,Trindade,450.27,52540,20331,72871,380,318,698,0,0,0,0.6401120672621808,0.2959973885540905,0.4833377580513316
76,Trindade,Faria Guimaraes,555.34,37548,15550,53098,400,314,714,0,0,0,0.4345926527639336,0.2292709767573003,0.34429712578062427
77,Faria Guimaraes,Marques,621.04,36065,15113,51178,398,318,716,0,0,0,0.4195212753848482,0.2200298868219476,0.3309203514141745
78,Marques,Combatentes,702.75,28173,12763,40937,358,318,676,0,0,0,0.36434307419497775,0.18581655328609756,0.28036166347156966
79,Combatentes,Salgueiros,471.25,25716,10752,36469,358,336,694,0,0,0,0.3325681289307697,0.14816096586615513,0.2432874275046739
80,Salgueiros,Polo Universitario,775.36,24156,8918,33074,358,356,714,0,0,0,0.3123847034255767,0.11597645214850286,0.2144556593714615
81,Polo Universitario,I.P.O.,827.64,19154,7818,26972,356,358,714,0,0,0,0.2490899778167144,0.10110201209973578,0.17488872889979795
82,I.P.O.,Hospital São João,351.77,7623,6998,14622,358,342,700,0,0,0,0.09858836110577816,0.0947449642625081,0.09671058721949478
83,Verdes (E) ,Botica,683.54,2006,1331,3338,60,80,140,0,0,0,0.15482584066749844,0.07706452696380771,0.11039080426538946
84,Botica,Aeroporto,649.66,1499,884,2383,59,80,139,0,0,0,0.11770002753514372,0.051157407407407415,0.07940211667025951
