,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,259,1348,1607,178,179,357,0,0,0,0.006736371202663339,0.034871189835452295,0.020843185026946875
1,Venda Nova,Carreira,583.47,454,2600,3055,180,176,356,0,0,0,0.011697962597423598,0.06840994362081936,0.03973534647415858
2,Carreira,Baguim,786.02,677,4012,4690,180,184,364,0,0,0,0.017435580469011603,0.10095661039613286,0.05965500219041356
3,Baguim,Campainha,751.7,793,4858,5652,184,180,364,0,0,0,0.01997074944726164,0.12496138613327581,0.07188919616012579
4,Campainha,Rio Tinto,859.99,1045,6193,7238,217,178,395,0,0,0,0.02229629792358923,0.1610942931239823,0.08484324259617142
5,Rio Tinto,Levada,452.83,1207,7185,8392,198,178,376,0,0,0,0.02822772702441435,0.1868866435121226,0.10333753323402094
6,Levada,Nau Vitória,1111.62,1865,8983,10849,197,178,375,0,0,0,0.04383807362405381,0.23365994321465422,0.13394018772305882
7,Nau Vitória,Nasoni,499.02,1986,9111,11098,197,178,375,0,0,0,0.04669207626227665,0.2369751093428582,0.13701308929785938
8,Nasoni,Contumil,650.0,2053,9245,11298,205,190,395,0,0,0,0.04636891231629526,0.22527543319255836,0.13242521349728256
9,Contumil,Estádio do Dragão,619.19,2361,10333,12694,227,182,409,0,0,0,0.04815552074907005,0.2628625742893234,0.14369753479387717
10,Estádio do Dragão,Campanhã,1166.02,5246,17438,22684,297,279,576,166,167,333,0.04981032341410901,0.17150176813345233,0.10958610167045119
11,Campanhã,Heroismo,950.92,11573,28458,40032,365,369,734,309,310,619,0.07444303970056411,0.1817449149529214,0.12828516045618205
12,Heroismo,24 de Agosto,571.9,12737,29701,42438,370,365,735,269,310,579,0.08686673888998371,0.19073635814920775,0.14036258846612798
13,24 de Agosto,Bolhão,680.44,18346,33533,51879,399,367,766,269,310,579,0.11999039309328617,0.21474904235857775,0.16786888640200784
14,Bolhão,Trindade,451.8,28507,34705,63212,389,359,748,269,312,581,0.18912142145974667,0.22402037856681675,0.20680975879003724
15,Trindade,Lapa,857.4300000000001,38605,45019,83625,404,364,768,269,294,563,0.2507228766621945,0.2970893986198521,0.27372098237121933
16,Lapa,Carolina Michaelis,460.97,38477,44171,82649,405,368,773,283,284,567,0.24404650929716662,0.2946366820962485,0.26870474479068496
17,Carolina Michaelis,Casa da Música,627.48,37343,41348,78691,407,394,801,267,259,526,0.24229105119037048,0.2768794182627569,0.2593121422757114
18,Casa da Música,Francos,871.87,38184,28561,66746,431,406,837,259,251,510,0.24270905307124463,0.19048175091856825,0.21722293460297903
19,Francos,Ramalde,965.03,36071,25135,61206,433,388,821,240,251,491,0.23568692907438105,0.17209488066149686,0.2046341841328483
20,Ramalde,Viso,621.15,33476,24251,57728,430,387,817,240,251,491,0.21966291481936714,0.16628892575968376,0.19356291963272473
21,Viso,Sete Bicas,743.81,32414,21986,54400,441,388,829,240,250,490,0.2094294956038206,0.15078871605947106,0.18098388710901542
22,Sete Bicas,Sra da Hora,674.5,29996,17139,47136,455,388,843,240,236,476,0.19009373736957577,0.12041856410540829,0.15705109849343782
23,Sra da Hora,Vasco da Gama,824.48,7722,7951,15673,198,159,357,0,0,0,0.18055872743378681,0.23151667932286532,0.20325428583816632
24,Vasco da Gama,Estádio do Mar,661.6,6607,8130,14737,196,153,349,0,0,0,0.15606401836562608,0.2460208393573752,0.19550067627891438
