,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
56,São Brás,Póvoa de Varzim,624.94,33645,36661,70307,0,0,0,1932,1996,3928,0.07022216148580442,0.07406344947960436,0.07217409907124858
57,Sra da Hora,Fonte do Cuco,685.98,123069,123189,246259,902,934,1836,1485,1409,2894,0.21855295818773696,0.22350347052905517,0.2210016999764293
58,Fonte do Cuco,Cândido dos Reis,913.51,119622,122846,242468,902,930,1832,1485,1409,2894,0.21243123726454854,0.22323027950165836,0.21776868511153977
59,Cândido dos Reis,Pias,916.73,114420,117672,232092,902,930,1832,1485,1409,2894,0.20319262880712935,0.21382791816992783,0.20844914147419988
60,Pias,Araújo,1258.13,111014,114041,225056,902,930,1832,1485,1409,2894,0.19714504083784753,0.2072312949353284,0.2021301917461205
61,Araújo,Custió,651.69,107895,109456,217352,902,930,1832,1485,1409,2894,0.19160569959431134,0.19889918980378168,0.19521052146284842
62,Custió,Parque de Maia,1418.51,102722,103970,206692,900,930,1830,1484,1409,2893,0.18263901535164828,0.18892933007163212,0.18574991567929217
63,Parque de Maia,Forum,824.81,89568,88947,178516,900,930,1830,1483,1409,2892,0.15932295706274283,0.16163181568850418,0.16046506688431522
64,Forum,Zona Industrial,1119.4,42395,43134,85530,504,424,928,848,867,1715,0.13283036315431956,0.14068804012229402,0.13668029437224852
65,Zona Industrial,Mandim,1194.23,38947,39542,78490,504,424,928,848,867,1715,0.1220271359442735,0.12897220700867468,0.1254299286539445
66,Mandim,Castêlo da Maia,1468.1,35627,36052,71679,504,424,928,848,867,1715,0.11162478103178249,0.11758934348705241,0.1145471657634814
67,Castêlo da Maia,ISMAI,702.48,21821,20995,42816,504,424,928,848,867,1715,0.06837102721867763,0.0684768427919113,0.06842287239892565
68,Santo Ovídio,D. João II,463.71,142394,117394,259788,5874,5917,11791,0,0,0,0.1122287166294657,0.091852859593441,0.1020036342715522
69,D. João II,João de Deus,716.25,193942,174876,368818,5876,5917,11793,0,0,0,0.1528048423106943,0.13682842015294183,0.14478885910816555
70,João de Deus,C.M.Gaia,405.01,297541,277135,574676,5876,5917,11793,0,0,0,0.23442928635714486,0.21683844037470534,0.22560328485811199
