,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
73,Trindade,Faria Guimaraes,555.34,37495,42030,79526,396,392,788,0,0,0,0.4383602399277309,0.49639237523162294,0.4672290178961645
74,Faria Guimaraes,Marques,621.04,35775,39933,75709,400,400,800,0,0,0,0.4140704761203382,0.46219468972946964,0.4381325829249039
75,Marques,Combatentes,702.75,29354,30249,59604,400,400,800,0,0,0,0.3397566482584279,0.35010956239156393,0.3449331053249959
76,Combatentes,Salgueiros,471.25,24490,26283,50773,400,400,800,0,0,0,0.2834505634174464,0.3042055598607872,0.2938280616391168
77,Salgueiros,Polo Universitario,775.36,20753,24843,45596,398,410,808,0,0,0,0.24141024062447186,0.28052328491316386,0.2612572061670012
78,Polo Universitario,I.P.O.,827.64,15763,17009,32773,400,400,800,0,0,0,0.18244525111327348,0.19687426222106835,0.18965975666717091
79,I.P.O.,Hospital São João,351.77,9508,8217,17725,400,400,800,0,0,0,0.11004723559474076,0.09510416666666668,0.10257570113070373
80,Verdes (E) ,Botica,683.54,2253,4224,6478,96,80,176,0,0,0,0.10869846097580711,0.2444715341956652,0.17041349425756078
81,Botica,Aeroporto,649.66,1940,3483,5423,94,80,174,0,0,0,0.09557915865676654,0.2015625,0.14430713168813825
82,Sra da Hora,Fonte do Cuco,687.03,39901,21687,61590,190,219,409,298,272,298,0.34716030696191236,0.18893607078165664,0.26806325363983197
