,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
73,Jardim do Morro,São Bento,795.7,17218,16045,33264,376,380,756,0,0,0,0.2120099745825143,0.1954856721212684,0.20370410826601504
74,São Bento,Aliados,443.38,20112,22891,43004,376,376,752,0,0,0,0.2476417534438797,0.28186126017543245,0.2647515068096561
75,Aliados,Trindade,450.27,21140,25326,46467,408,376,784,0,0,0,0.2398885346318495,0.3118430352889317,0.2743973257633073
76,Trindade,Faria Guimaraes,555.34,18018,21960,39979,378,412,790,0,0,0,0.2206821761666921,0.24677346365641842,0.23428927799677723
77,Faria Guimaraes,Marques,621.04,17002,20696,37698,374,380,754,0,0,0,0.21047070352922395,0.2521443339452791,0.23147332893784595
78,Marques,Combatentes,702.75,13943,16314,30257,378,374,752,0,0,0,0.17077289098662027,0.2019548349269626,0.18628093225482242
79,Combatentes,Salgueiros,471.25,12400,14249,26649,398,374,772,0,0,0,0.1442416718434303,0.17638494887952866,0.15981367393086654
80,Salgueiros,Polo Universitario,775.36,11334,12965,24300,398,402,800,0,0,0,0.13184187074665676,0.14932236302807397,0.14062581811806893
81,Polo Universitario,I.P.O.,827.64,8998,10661,19659,374,374,748,0,0,0,0.11138488727435127,0.1319770577333265,0.12168097250383889
82,I.P.O.,Hospital São João,351.77,3997,4988,8985,380,374,754,0,0,0,0.04870381111915538,0.06174489998019411,0.055172467928211726
83,Verdes (E) ,Botica,683.54,2197,4196,6394,84,84,168,0,0,0,0.12112305657207977,0.23131103699471595,0.17621704678339786
84,Botica,Aeroporto,649.66,2099,4038,6137,84,84,168,0,0,0,0.11573954235051029,0.22255291005291014,0.1691462262017102
