,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
53,Vila do Conde,Alto de Pega,730.41,40269,44669,84939,0,0,0,1833,1894,3727,0.0885859308770715,0.0950998678668906,0.09189620634224922
54,Alto de Pega,Portas Fronhas,671.05,38551,42826,81377,0,0,0,1833,1896,3729,0.08480513368118393,0.09107957903878035,0.0879953585130431
55,Portas Fronhas,São Brás,562.21,30090,33498,63589,0,0,0,1832,1895,3727,0.06622983204937623,0.07128002065731735,0.06879760972902432
56,São Brás,Póvoa de Varzim,624.94,28406,31737,60144,0,0,0,1836,1900,3736,0.06238766351841804,0.06735568760611203,0.06491422823111039
57,Sra da Hora,Fonte do Cuco,685.98,106066,107851,213918,746,781,1527,1427,1360,2787,0.2059425207493737,0.21315620895000698,0.20951737334700626
58,Fonte do Cuco,Cândido dos Reis,913.51,102788,107189,209978,746,779,1525,1425,1358,2783,0.19976909585246758,0.21223696107512752,0.20594501700754056
59,Cândido dos Reis,Pias,916.73,98584,102843,201427,746,779,1525,1425,1358,2783,0.19159802943485324,0.2036308210486913,0.19755843812995408
60,Pias,Araújo,1258.13,95784,99944,195729,746,781,1527,1425,1358,2783,0.18615756487551635,0.19772166479593697,0.19188828010721293
61,Araújo,Custió,651.69,93195,95917,189113,746,779,1525,1423,1356,2779,0.181300589148542,0.19010393741825812,0.18566126248603318
62,Custió,Parque de Maia,1418.51,88951,91001,179952,746,779,1525,1421,1354,2775,0.17321144478684436,0.18053800470437514,0.1768405686919062
63,Parque de Maia,Forum,824.81,77330,77379,154710,746,781,1527,1420,1354,2774,0.15065536195179213,0.15338209190902968,0.15200692823959666
64,Forum,Zona Industrial,1119.4,35893,36427,72320,430,367,797,873,848,1721,0.11601469524693905,0.12579473277646613,0.12074299788426099
65,Zona Industrial,Mandim,1194.23,32500,32912,65412,430,367,797,873,848,1721,0.10504770929663854,0.11365606013737697,0.10920954281316331
66,Mandim,Castêlo da Maia,1468.1,29963,30257,60221,430,367,797,873,848,1721,0.09684984300020096,0.10448809865440561,0.10054266976546403
67,Castêlo da Maia,ISMAI,702.48,18131,17424,35556,430,367,797,873,848,1721,0.058606269311390895,0.060174185705997724,0.059364301496987036
68,Santo Ovídio,D. João II,463.71,123851,101654,225505,5515,5546,11061,0,0,0,0.10396813404519661,0.08485798115147265,0.09438627815978001
69,D. João II,João de Deus,716.25,168902,151949,320852,5515,5544,11059,0,0,0,0.1417873468152004,0.12688870112423378,0.13431848962099488
70,João de Deus,C.M.Gaia,405.01,255961,239577,495539,5511,5546,11057,0,0,0,0.21502602846247026,0.19999164671115946,0.2074850425537455
71,C.M.Gaia,General Torres,488.39,295962,273786,569748,5515,5546,11061,0,0,0,0.24844886611084882,0.22854846447631263,0.23847077846369777
72,General Torres,Jardim do Morro,419.98,329906,307740,637647,5513,5546,11059,0,0,0,0.27704396717115415,0.25689260723261204,0.2669382214238755
73,Jardim do Morro,São Bento,795.7,339041,322287,661329,5513,5544,11057,0,0,0,0.28471563375811054,0.2691330542318225,0.2769024999158621
74,São Bento,Aliados,443.38,403027,401539,804567,5517,5550,11067,0,0,0,0.33820358508369347,0.3349510712703239,0.336572478942535
75,Aliados,Trindade,450.27,431431,428136,859568,5517,5548,11065,0,0,0,0.36203920729444,0.3572664486675983,0.3596461422368966
76,Trindade,Faria Guimaraes,555.34,386196,376559,762756,5561,5511,11072,0,0,0,0.32151518444725447,0.3163368669390648,0.3189377180647009
77,Faria Guimaraes,Marques,621.04,367723,361432,729156,5563,5511,11074,0,0,0,0.30602635494471114,0.3036286954414848,0.3048331545182817
78,Marques,Combatentes,702.75,300476,289730,590206,5563,5511,11074,0,0,0,0.25006161364127955,0.24339382157420122,0.2467433725286131
79,Combatentes,Salgueiros,471.25,265091,254399,519490,5559,5513,11072,0,0,0,0.22077256183818852,0.21363574870831434,0.21721898066179796
80,Salgueiros,Polo Universitario,775.36,240277,230012,470290,5561,5518,11079,0,0,0,0.2000349740216189,0.19298191122778463,0.19652212985731007
81,Polo Universitario,I.P.O.,827.64,181049,179737,360787,5557,5519,11076,0,0,0,0.1508355244430809,0.1507734808931469,0.15080460909890558
82,I.P.O.,Hospital São João,351.77,80917,95142,176059,5556,5521,11077,0,0,0,0.06742609539872738,0.07978123930849887,0.07358414807777842
83,Verdes (E) ,Botica,683.54,26965,48429,75394,1408,1410,2818,0,0,0,0.08866396713611402,0.1590147082035986,0.12386430244667229
84,Botica,Aeroporto,649.66,23898,44950,68848,1408,1410,2818,0,0,0,0.07858035118039428,0.14758996585237727,0.11310964737893794
