,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
58,Fonte do Cuco,Cândido dos Reis,913.51,3417,1806,5224,38,36,74,107,71,178,0.09836763736802644,0.0711626969575197,0.0868826352495408
59,Cândido dos Reis,Pias,916.73,3240,1762,5003,38,36,74,107,71,178,0.09326892773798212,0.06945032542645888,0.08321352258438137
60,Pias,Araújo,1258.13,3116,1739,4856,38,36,74,106,71,177,0.09034745334498451,0.06852414048749725,0.08109623468141641
61,Araújo,Custió,651.69,3006,1713,4720,38,34,72,109,71,180,0.08531958278199979,0.06867114439413663,0.07841813683147544
62,Custió,Parque de Maia,1418.51,2764,1622,4386,38,10,48,107,71,178,0.0795542127462552,0.08205780638792054,0.08046210530401202
63,Parque de Maia,Forum,824.81,2378,1504,3882,38,0,38,119,71,190,0.0630512572420276,0.08543407492767856,0.07017453395199258
64,Forum,Zona Industrial,1119.4,918,587,1505,36,0,36,40,38,78,0.05188584547608036,0.062341866770554276,0.055519235766608464
65,Zona Industrial,Mandim,1194.23,845,447,1293,36,0,36,40,38,78,0.04778095514224646,0.04748883149518358,0.04767944432919629
66,Mandim,Castêlo da Maia,1468.1,835,383,1219,36,0,36,42,38,80,0.04594948298382563,0.04070092500439085,0.04415840497114482
67,Castêlo da Maia,ISMAI,702.48,441,237,678,36,0,36,64,38,102,0.018660271801099006,0.025148556876061122,0.020509134843746654
68,Santo Ovídio,D. João II,463.71,1663,4033,5696,129,224,353,0,0,0,0.05968274476026415,0.08337057351976658,0.07471411485127986
69,D. João II,João de Deus,716.25,2410,6036,8447,133,222,355,0,0,0,0.0839107198949063,0.12589529108145295,0.11016586018621152
70,João de Deus,C.M.Gaia,405.01,4511,9186,13697,133,220,353,0,0,0,0.15702983565870368,0.1933240394234343,0.17964945273587288
71,C.M.Gaia,General Torres,488.39,5223,10505,15729,133,196,329,0,0,0,0.18183413861658423,0.24814757627979386,0.22134001637339
72,General Torres,Jardim do Morro,419.98,5711,11848,17560,133,188,321,0,0,0,0.19882988043939154,0.29177390704365014,0.2532643882325399
73,Jardim do Morro,São Bento,795.7,6005,12455,18461,135,196,331,0,0,0,0.2059660633165639,0.29421441134231346,0.25822188269132795
74,São Bento,Aliados,443.38,8544,13831,22375,167,207,374,0,0,0,0.23686080346648317,0.30935575982644775,0.2769850172806882
