,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
55,Portas Fronhas,São Brás,562.21,3764,1951,5716,0,0,0,173,92,265,0.08775239257671706,0.08551609730343823,0.08697601836863535
56,São Brás,Póvoa de Varzim,624.94,3554,1890,5444,0,0,0,173,91,264,0.08285886112016669,0.08374689826321675,0.0831649648323544
57,Sra da Hora,Fonte do Cuco,685.98,12659,5778,18437,138,122,260,100,104,204,0.23182135194513373,0.1108107838112079,0.17271262269626317
58,Fonte do Cuco,Cândido dos Reis,913.51,12078,5789,17867,123,122,245,126,104,230,0.2089078143784703,0.11102195841515508,0.16248947977178507
59,Cândido dos Reis,Pias,916.73,11339,5585,16924,123,121,244,126,104,230,0.19613495563308406,0.1075558605513606,0.15422163691494242
60,Pias,Araújo,1258.13,10815,5513,16329,123,123,246,126,104,230,0.1870708509755864,0.10529960984890148,0.14820991769253725
61,Araújo,Custió,651.69,10411,5377,15788,123,123,246,130,104,234,0.17703710647691404,0.10269485279646273,0.1420219905918713
62,Custió,Parque de Maia,1418.51,9563,5334,14897,123,118,241,134,106,240,0.15992545542132913,0.10302950748021282,0.13352332054824498
63,Parque de Maia,Forum,824.81,7784,4812,12596,121,122,243,129,106,235,0.1339138661272314,0.09142633365301338,0.11372262218093973
64,Forum,Zona Industrial,1119.4,3221,1999,5221,45,45,90,81,61,142,0.10808626378066333,0.08047265674312938,0.09553241959761584
65,Zona Industrial,Mandim,1194.23,3122,1666,4789,49,45,94,81,61,142,0.10180466382914231,0.06708174414340884,0.08626440611388465
66,Mandim,Castêlo da Maia,1468.1,3050,1492,4543,56,43,99,81,24,105,0.09477467824893258,0.09795535893801331,0.0957968099481058
67,Castêlo da Maia,ISMAI,702.48,1588,1110,2698,79,43,122,65,24,89,0.04786517489947139,0.0728346456694608,0.0557235660801801
68,Santo Ovídio,D. João II,463.71,4364,12780,17145,354,432,786,0,0,0,0.05708568738189766,0.13696274768524494,0.10098758312114198
69,D. João II,João de Deus,716.25,6292,18906,25198,354,452,806,0,0,0,0.08229104574404143,0.19364799805092717,0.14473936142978877
70,João de Deus,C.M.Gaia,405.01,13456,28603,42059,394,430,824,0,0,0,0.1581142519255545,0.3079617198800044,0.23631135292120192
71,C.M.Gaia,General Torres,488.39,15788,33141,48930,394,430,824,0,0,0,0.18552300351615472,0.3568199760056853,0.2749134139172447
72,General Torres,Jardim do Morro,419.98,17216,37925,55141,387,434,821,0,0,0,0.20595897321278203,0.40456198541321114,0.3109452183954693
73,Jardim do Morro,São Bento,795.7,18976,40006,58982,380,426,806,0,0,0,0.2311924708126288,0.4347741809028103,0.3387927294955287
74,São Bento,Aliados,443.38,27568,42775,70343,410,422,832,0,0,0,0.3112927753447594,0.46927513118235853,0.3914232490989263
75,Aliados,Trindade,450.27,33724,42569,76294,410,422,832,0,0,0,0.3808085218988051,0.4670190705477327,0.42453550691064096
76,Trindade,Faria Guimaraes,555.34,29742,30718,60461,392,418,810,0,0,0,0.35127030025928946,0.34022821834503736,0.3455720407035396
77,Faria Guimaraes,Marques,621.04,28219,29188,57408,422,422,844,0,0,0,0.30959108411511466,0.3202196338214539,0.31490535896828425
78,Marques,Combatentes,702.75,22524,23152,45677,420,422,842,0,0,0,0.24828606500124623,0.2540024648801275,0.25115105401417726
79,Combatentes,Salgueiros,471.25,19063,20603,39667,422,422,844,0,0,0,0.20914512744392702,0.22603314325884138,0.21758913535138422
80,Salgueiros,Polo Universitario,775.36,16126,19437,35564,422,412,834,0,0,0,0.17692210505235634,0.21841788925819192,0.19742122147058686
81,Polo Universitario,I.P.O.,827.64,12695,13901,26596,422,412,834,0,0,0,0.139273233817654,0.1562139042709253,0.147642006271788
82,I.P.O.,Hospital São João,351.77,7346,6159,13506,422,414,836,0,0,0,0.08060137207448775,0.0688853104307799,0.07479939896384774
83,Verdes (E) ,Botica,683.54,2000,4909,6909,121,124,245,0,0,0,0.07652760801907421,0.1832813875120208,0.13055809233387167
84,Botica,Aeroporto,649.66,1694,4533,6228,128,124,252,0,0,0,0.06127472986810575,0.16928016726382086,0.11442026255488622
