,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
48,Espaço Natureza,Varziela,1539.0,3740,3462,7203,0,0,0,88,88,176,0.17141466265893632,0.1586472417844467,0.1650309522216915
49,Varziela,Árvore,858.71,3662,3275,6938,0,0,0,98,92,190,0.15071281813454224,0.14355371318295101,0.14724630415798226
50,Árvore,Azurara,664.57,3659,3241,6901,0,0,0,106,108,214,0.13919216581707436,0.12104119809126002,0.1300318643479718
51,Azurara,Santa Clara,1218.09,3627,3230,6858,0,0,0,110,87,197,0.13298653741328098,0.14974031928977083,0.14038541570391355
52,Santa Clara,Vila do Conde,670.57,3491,3065,6556,0,0,0,100,87,187,0.14078253275092684,0.1420582989646403,0.1413760710428684
53,Vila do Conde,Alto de Pega,730.41,2856,2549,5406,0,0,0,88,87,175,0.13089330301581611,0.11815918797546088,0.12456262868146808
54,Alto de Pega,Portas Fronhas,671.05,2771,2469,5240,0,0,0,87,87,174,0.12845335063968766,0.11445214969548781,0.12145275016758775
55,Portas Fronhas,São Brás,562.21,2354,2128,4482,0,0,0,99,87,186,0.09587982965957394,0.09863924838024975,0.09717052551279326
56,São Brás,Póvoa de Varzim,624.94,2239,2059,4298,0,0,0,88,88,176,0.1026181464380242,0.09434567448680355,0.09848191046241388
57,Sra da Hora,Fonte do Cuco,685.98,4849,5362,10211,5,25,30,83,63,146,0.22382853127798422,0.2550808894611118,0.23922043482094882
58,Fonte do Cuco,Cândido dos Reis,913.51,4608,5283,9891,5,25,30,80,63,143,0.22029483850939124,0.2512899607712881,0.23583082578848052
59,Cândido dos Reis,Pias,916.73,4370,5037,9408,5,29,34,85,71,156,0.19724154752272702,0.2110351794249998,0.20439486653495886
60,Pias,Araújo,1258.13,4222,4879,9101,5,29,34,83,59,142,0.1948902667061282,0.2334915537749347,0.21384262795118886
61,Araújo,Custió,651.69,4126,4658,8784,5,29,34,83,59,142,0.1904732650882116,0.22293419918325208,0.20641085152735553
62,Custió,Parque de Maia,1418.51,3923,4472,8396,5,29,34,83,59,142,0.18111407438227187,0.2140344112128485,0.19727721720209632
63,Parque de Maia,Forum,824.81,3532,3821,7353,5,29,34,83,59,142,0.1630408857462983,0.18288737357932552,0.17278506360717558
64,Forum,Zona Industrial,1119.4,1268,1151,2419,1,25,26,44,19,63,0.11400158964310572,0.11384896487663305,0.11392892760739144
65,Zona Industrial,Mandim,1194.23,1188,994,2182,4,25,29,54,39,93,0.08333760267127036,0.06595097731485927,0.07440241386290197
66,Mandim,Castêlo da Maia,1468.1,1133,930,2064,3,25,28,41,41,82,0.10479284829264797,0.059800951427979226,0.07824517355079068
67,Castêlo da Maia,ISMAI,702.48,554,436,991,3,3,6,41,41,82,0.051228223575896015,0.04040310650887573,0.04581566504238587
68,Santo Ovídio,D. João II,463.71,5870,5355,11225,348,352,700,0,0,0,0.07809174116645383,0.07044305014693909,0.07424554225378355
69,D. João II,João de Deus,716.25,7806,8006,15813,350,348,698,0,0,0,0.10326467461302864,0.10651222414114296,0.10488379672733206
70,João de Deus,C.M.Gaia,405.01,13519,14084,27604,348,350,698,0,0,0,0.17985424028526753,0.18630920347492588,0.18309096967836272
71,C.M.Gaia,General Torres,488.39,15579,15711,31290,352,354,706,0,0,0,0.20490243739519529,0.20547315873734295,0.2051886064534393
