,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
49,Santa Clara,Vila do Conde,670.57,53002,58317,111319,0,0,0,1899,1901,3800,0.11254389033559378,0.12369795401121252,0.11812385745331778
50,Vila do Conde,Alto de Pega,730.41,41429,45923,87353,0,0,0,1898,1899,3797,0.08801622989758821,0.09751216686029512,0.09276544883153091
51,Alto de Pega,Portas Fronhas,671.05,40118,44394,84513,0,0,0,1899,1901,3800,0.08518630643178766,0.0941671018781382,0.08967906752218564
52,Portas Fronhas,São Brás,562.21,33074,36522,69596,0,0,0,1899,1901,3800,0.07022812927794117,0.07746912896300541,0.0738505346467062
53,São Brás,Póvoa de Varzim,624.94,31850,35123,66973,0,0,0,1898,1900,3798,0.06766654167253947,0.07453947368421057,0.0711048172971248
55,Fonte do Cuco,Cândido dos Reis,913.51,88235,93172,181408,355,356,711,1359,1357,2716,0.21327671849715765,0.22536459493635547,0.21931861075776818
56,Cândido dos Reis,Pias,916.73,84627,89579,174206,355,356,711,1359,1357,2716,0.20455659133152693,0.21667223991829934,0.2106123649652914
57,Pias,Araújo,1258.13,82179,86860,169039,355,356,711,1359,1357,2716,0.19863835823719367,0.21009628858869575,0.2043653840768083
58,Araújo,Custió,651.69,80136,83655,163792,355,356,711,1359,1357,2716,0.19370058387959488,0.20234478729565034,0.19802122249476545
59,Custió,Parque de Maia,1418.51,76816,79550,156367,355,356,711,1359,1357,2716,0.18567740956238518,0.1924149198097113,0.18904502431455955
60,Parque de Maia,Forum,824.81,66743,67731,134475,355,356,711,1359,1357,2716,0.16132887855591824,0.16382820384334015,0.16257811817106316
61,Forum,Zona Industrial,1119.4,27582,28875,56457,233,215,448,759,774,1533,0.11561979199154637,0.12112574584925256,0.11837179922088244
62,Zona Industrial,Mandim,1194.23,23722,24739,48461,233,215,448,759,774,1533,0.09943833297117895,0.10377469969612253,0.1016057526198915
63,Mandim,Castêlo da Maia,1468.1,21382,22281,43664,233,215,448,759,774,1533,0.08963247226901767,0.09346534723269022,0.09154823471123372
64,Castêlo da Maia,ISMAI,702.48,11080,10962,22043,233,215,448,759,774,1533,0.046449452508965504,0.04598728145239772,0.04621844837748622
65,Santo Ovídio,D. João II,463.71,102709,85456,188165,5301,5386,10687,0,0,0,0.08970092994333705,0.07345566960468856,0.08151369571633595
66,D. João II,João de Deus,716.25,139709,127520,267230,5299,5388,10687,0,0,0,0.12206124407971315,0.10957210596853909,0.11576467103367535
67,João de Deus,C.M.Gaia,405.01,222222,210246,432468,5301,5392,10693,0,0,0,0.19407780617170495,0.18052006620136735,0.1872412463737006
