,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,50,261,311,45,45,90,0,0,0,0.005144032921810701,0.026855529657341663,0.01599978128957618
4,Venda Nova,Carreira,583.47,91,426,518,45,45,90,0,0,0,0.00941942200885761,0.0438943561286237,0.026656889068740655
5,Carreira,Baguim,786.02,117,603,721,45,45,90,0,0,0,0.012138665165521484,0.06204989744168038,0.037094281303600936
6,Baguim,Campainha,751.7,134,652,786,45,45,90,0,0,0,0.01384084552298271,0.06710543334878827,0.040473139435885486
7,Campainha,Rio Tinto,859.99,170,850,1020,45,45,90,0,0,0,0.01750956905471932,0.08747890873774417,0.05249423889623174
8,Rio Tinto,Levada,452.83,209,1044,1254,45,45,90,0,0,0,0.021536541648431752,0.10749863790635124,0.0645175897773915
9,Levada,Nau Vitória,1111.62,456,1246,1703,45,45,90,0,0,0,0.046971878855535075,0.1282346126651377,0.08760324576033637
10,Nau Vitória,Nasoni,499.02,469,1295,1765,45,45,90,0,0,0,0.04832993818979934,0.13332433972760482,0.09082713895870208
11,Nasoni,Contumil,650.0,481,1316,1798,45,45,90,0,0,0,0.04954487638496034,0.13545453950049657,0.09249970794272847
12,Contumil,Estádio do Dragão,619.19,536,1534,2071,45,45,90,0,0,0,0.05522501500151815,0.15784980977901727,0.10653741239026772
13,Estádio do Dragão,Campanhã,1166.02,1454,2481,3935,45,45,90,44,44,88,0.0704892755651379,0.12025043108944579,0.09536985332729184
14,Campanhã,Heroismo,950.92,3423,3931,7354,49,50,99,86,83,169,0.10729010125732709,0.12525608337477004,0.11619815836636761
15,Heroismo,24 de Agosto,571.9,3550,4352,7903,49,50,99,84,83,167,0.11301574248741815,0.13869508879907574,0.12584887313463253
16,24 de Agosto,Bolhão,680.44,4148,5553,9702,49,50,99,84,83,167,0.13205432102255552,0.1769662508806706,0.1544988434217129
17,Bolhão,Trindade,451.8,5168,6452,11621,49,50,99,84,83,167,0.16453249935978662,0.20560676151435553,0.18505916565690428
18,Trindade,Lapa,857.4300000000001,9230,8722,17953,138,136,274,84,83,167,0.18228078940847672,0.17458830788470578,0.17846054709309303
19,Lapa,Carolina Michaelis,460.97,8980,8835,17816,136,136,272,84,83,167,0.17886167469740757,0.1768567402737542,0.17786168943459185
20,Carolina Michaelis,Casa da Música,627.48,8466,8815,17282,136,146,282,84,83,167,0.16863059266627728,0.16913686548006454,0.1688884589301991
21,Casa da Música,Francos,871.87,7497,7064,14562,137,135,272,84,83,167,0.14869530793592353,0.14202108874562536,0.14538085262682088
22,Francos,Ramalde,965.03,6939,6717,13657,136,135,271,84,83,167,0.1382170093225008,0.1350472721569444,0.13663949806146114
23,Ramalde,Viso,621.15,6537,6656,13193,136,135,271,84,83,167,0.13021533707619395,0.13380737970990086,0.13200302085211757
24,Viso,Sete Bicas,743.81,6075,6627,12702,136,135,271,84,84,168,0.12100526512948435,0.13256492260188502,0.1267726343546366
25,Sete Bicas,Sra da Hora,674.5,5876,4958,10835,135,134,269,84,84,168,0.1175485777305089,0.09961824089309106,0.10860281910630766
26,Sra da Hora,Vasco da Gama,824.48,1918,1776,3695,86,87,173,0,0,0,0.10328211334078594,0.09455874278344725,0.09889521600848267
27,Vasco da Gama,Estádio do Mar,661.6,1710,1825,3536,85,85,170,0,0,0,0.09316244655040667,0.09944223884606392,0.0963023426982353
