,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,506,788,1295,93,78,171,0,0,0,0.025238948626045393,0.046813322538215435,0.035079891112298395
4,Venda Nova,Carreira,583.47,913,1482,2395,93,78,171,0,0,0,0.04547380901082897,0.08796595834820897,0.06485619291910756
5,Carreira,Baguim,786.02,1280,1957,3237,93,78,171,0,0,0,0.06375173926363553,0.11615732507807494,0.08765604156495878
6,Baguim,Campainha,751.7,1573,2202,3775,86,77,163,0,0,0,0.08469697810500189,0.13241850494689045,0.10724027606098607
7,Campainha,Rio Tinto,859.99,2221,2791,5013,93,78,171,0,0,0,0.11057944600549947,0.1657083174750142,0.13572594878106758
8,Rio Tinto,Levada,452.83,2615,3270,5885,93,77,170,0,0,0,0.1301997764708416,0.1966392215919863,0.16029293690806595
9,Levada,Nau Vitória,1111.62,3340,4252,7593,93,77,170,0,0,0,0.16628805073103978,0.25569705129472325,0.20678506863341403
10,Nau Vitória,Nasoni,499.02,3538,4361,7899,94,78,172,0,0,0,0.17427945517991758,0.2588683900809822,0.2126395535652841
11,Nasoni,Contumil,650.0,3666,4454,8120,94,78,172,0,0,0,0.1805924310310049,0.26437129558125755,0.2185851719317009
12,Contumil,Estádio do Dragão,619.19,4127,5082,9210,99,78,177,0,0,0,0.19301451066383493,0.3016743749808801,0.24089851866795653
13,Estádio do Dragão,Campanhã,1166.02,7974,9277,17252,255,223,478,101,93,194,0.09952493783388487,0.1302432592375761,0.11398138253676365
14,Campanhã,Heroismo,950.92,13902,16800,30703,249,222,471,168,163,331,0.14566009087811962,0.1901026955537353,0.167026504571719
15,Heroismo,24 de Agosto,571.9,15146,18013,33160,236,213,449,170,165,335,0.16262474433608554,0.20722866862351613,0.18415780997084744
16,24 de Agosto,Bolhão,680.44,20115,21735,41850,236,214,450,187,168,355,0.2066242521373478,0.24730390258003213,0.2259249059815858
17,Bolhão,Trindade,451.8,25870,28152,54023,236,223,459,169,169,338,0.2785135400134899,0.3125302933876762,0.2952608900634806
18,Trindade,Lapa,857.4300000000001,31051,38627,69678,237,224,461,169,182,351,0.33351654181031654,0.413036203821925,0.37336500069730655
19,Lapa,Carolina Michaelis,460.97,30819,38087,68907,224,224,448,169,172,341,0.3413156428304757,0.4183611905832971,0.37999647105772716
20,Carolina Michaelis,Casa da Música,627.48,29632,36018,65650,221,217,438,169,168,337,0.33054161900898327,0.4068210737638582,0.3684433262676462
21,Casa da Música,Francos,871.87,27696,28850,56546,222,224,446,167,163,330,0.30991211190149087,0.32486141150793707,0.31736326918108676
22,Francos,Ramalde,965.03,26253,25454,51708,225,224,449,169,157,326,0.2900608807724515,0.2915048810516026,0.29076992135218677
23,Ramalde,Viso,621.15,25336,24349,49686,227,224,451,169,165,334,0.27859077017390904,0.27266405397825405,0.2756543744128644
24,Viso,Sete Bicas,743.81,24243,22828,47072,213,205,418,175,168,343,0.2711588915867667,0.26562267904562437,0.2684454680122655
25,Sete Bicas,Sra da Hora,674.5,20132,20169,40302,204,207,411,187,168,355,0.2226053170055081,0.23351150718632405,0.22793307627536014
26,Sra da Hora,Vasco da Gama,824.48,6502,7938,14440,113,113,226,0,0,0,0.2663958919904427,0.32523942328211314,0.29581765763627793
27,Vasco da Gama,Estádio do Mar,661.6,6404,7739,14144,114,113,227,0,0,0,0.2600943634196209,0.317106602492765,0.28847490533708914
28,Estádio do Mar,Pedro Hispano,786.97,6323,7719,14043,120,113,233,0,0,0,0.24398122079061685,0.3162612452992173,0.27903548160380076
29,Pedro Hispano,Parque de Real,656.68,5714,7071,12786,121,132,253,0,0,0,0.2186496333610604,0.2480211620940108,0.23397390922173017
30,Parque de Real,C. Matosinhos,723.67,5395,6747,12143,114,113,227,0,0,0,0.21913310199171798,0.27644987975953283,0.24766524246644522
31,C. Matosinhos,Matosinhos Sul,616.61,3927,5076,9003,114,113,227,0,0,0,0.15947950970187216,0.2079922922567521,0.1836290446300723
32,Matosinhos Sul,Brito Capelo,535.72,2186,2902,5089,114,125,239,0,0,0,0.08878252287510778,0.10751398521697005,0.09857931280286002
33,Brito Capelo,Mercado,487.53,1049,1572,2621,118,136,254,0,0,0,0.04119194787761364,0.0535159304778493,0.04779061572655872
34,Mercado,Sr. de Matosinhos,708.96,270,305,575,108,116,224,0,0,0,0.011589511581754943,0.012172733077905491,0.011891536999404335
35,Sra da Hora,Fonte do Cuco,687.03,7894,7508,15403,91,74,165,92,93,185,0.1858855787599949,0.19228817648512955,0.1889524167871178
36,Fonte do Cuco,Custoias,689.2,7564,7286,14851,91,74,165,96,115,211,0.17404841955470007,0.16372833841334788,0.16882737450292287
37,Custoias,Esposade,1779.24,7309,7136,14446,91,74,165,101,97,198,0.163518556801551,0.17823609866098764,0.17047232787740113
38,Esposade,Crestins,2035.56,7199,7052,14252,91,74,165,78,95,173,0.184612836933829,0.17835540390963178,0.18146245076163436
39,Crestins,Verdes,591.8199999999999,7141,6995,14137,91,88,179,80,95,175,0.18082552991466574,0.16434643994589537,0.17227754417438235
40,Verdes,Pedras Rubras,960.78,5676,4352,10029,0,0,0,80,95,175,0.2861330804471935,0.184760531474596,0.23110226814778345
41,Pedras Rubras,Lidador,1147.58,5098,3871,8969,0,0,0,80,95,175,0.25695564894359657,0.1643130710337311,0.20666396379252677
42,Lidador,Vilar do Pinheiro,1987.51,4887,3708,8596,0,0,0,80,106,186,0.24636482700609338,0.1410859111940414,0.18636716530675193
43,Vilar do Pinheiro,Modivas Sul,2037.38,4757,3651,8408,0,0,0,78,114,192,0.24591622488575657,0.12915790573343808,0.17659097288906744
44,Modivas Sul,Modivas Centro,1051.08,4701,3644,8345,0,0,0,78,110,188,0.24303121555430146,0.1335843466710236,0.17899315397366014
45,Modivas Centro,Modivas Norte,852.51,4689,3626,8316,0,0,0,78,96,174,0.24245145848519475,0.152308907870851,0.1927176374565913
46,Modivas Norte,Mindelo,1834.12,3977,3232,7210,0,0,0,79,95,174,0.20303982487491126,0.13719445818906734,0.16708976835103098
47,Mindelo,Espaço Natureza,776.86,3855,3227,7082,0,0,0,77,95,172,0.20189710596902316,0.13697870367907725,0.16604101168097163
48,Espaço Natureza,Varziela,1539.0,3834,3154,6988,0,0,0,73,97,170,0.21178785313979845,0.1311180203905092,0.16575859562990988
49,Varziela,Árvore,858.71,3639,3034,6673,0,0,0,78,97,175,0.18812917164828977,0.1261237687353348,0.153760462605109
50,Árvore,Azurara,664.57,3636,3013,6650,0,0,0,78,97,175,0.18800089814671817,0.12528674591912475,0.15323933948342353
51,Azurara,Santa Clara,1218.09,3606,3003,6610,0,0,0,82,97,179,0.1773673147829921,0.12485194671339672,0.14890926616427283
52,Santa Clara,Vila do Conde,670.57,3506,2887,6394,0,0,0,90,133,223,0.15708730499984913,0.08755643512995828,0.11561822117610258
53,Vila do Conde,Alto de Pega,730.41,2724,2180,4905,0,0,0,93,114,207,0.11813119977142404,0.07712621450878064,0.09554874411953347
54,Alto de Pega,Portas Fronhas,671.05,2647,2056,4704,0,0,0,95,112,207,0.11237908219822543,0.07404564826339602,0.09163828702575735
55,Portas Fronhas,São Brás,562.21,2069,1693,3763,0,0,0,95,112,207,0.0878558262590186,0.06098683278543765,0.07331801336510041
56,São Brás,Póvoa de Varzim,624.94,1984,1627,3611,0,0,0,95,112,207,0.0842278957210955,0.05857574884792628,0.07034847325831796
57,Sra da Hora,Fonte do Cuco,685.98,5486,5426,10913,0,0,0,87,75,162,0.25430721891091934,0.29173629070665474,0.27163549289042643
58,Fonte do Cuco,Cândido dos Reis,913.51,5288,5461,10750,0,0,0,76,75,151,0.280607207382843,0.29362710481110377,0.28707404385383345
59,Cândido dos Reis,Pias,916.73,5050,5249,10300,0,0,0,76,92,168,0.2679492169862136,0.23009043944037524,0.24721702928254022
60,Pias,Araújo,1258.13,4859,5090,9949,0,0,0,76,84,160,0.257803662220396,0.24437376615263687,0.2507529667848225
61,Araújo,Custió,651.69,4683,4882,9565,0,0,0,76,75,151,0.24850170685624387,0.2624848282991778,0.2554469658510786
62,Custió,Parque de Maia,1418.51,4424,4709,9133,0,0,0,76,75,151,0.23474243166965672,0.25318187618000143,0.2439010961615498
63,Parque de Maia,Forum,824.81,3916,4126,8043,0,0,0,76,75,151,0.2078035978491234,0.22186796927851876,0.21478921279749857
64,Forum,Zona Industrial,1119.4,1592,1750,3343,0,0,0,39,37,76,0.16465789721091212,0.19080189351928847,0.17738589541367428
65,Zona Industrial,Mandim,1194.23,1524,1585,3109,0,18,18,38,38,76,0.16173833731125686,0.11912393235028801,0.13678746825599572
66,Mandim,Castêlo da Maia,1468.1,1482,1513,2995,0,34,34,38,39,77,0.15727182507257817,0.0889451360172649,0.11329879402245674
67,Castêlo da Maia,ISMAI,702.48,859,1015,1874,0,34,34,38,39,77,0.09121242625315709,0.05964974141984017,0.070899618192502
68,Santo Ovídio,D. João II,463.71,6549,6828,13378,358,358,716,0,0,0,0.08470411752534655,0.08831088331683105,0.0865075004210888
69,D. João II,João de Deus,716.25,8759,10269,19029,358,356,714,0,0,0,0.11327706354073584,0.13355350359373358,0.12338688519181035
70,João de Deus,C.M.Gaia,405.01,14881,17605,32487,360,358,718,0,0,0,0.19138034938283977,0.22767831145350242,0.20947877615344873
71,C.M.Gaia,General Torres,488.39,17168,19571,36740,358,358,716,0,0,0,0.22202597927849002,0.2530958033852347,0.23756089133186237
72,General Torres,Jardim do Morro,419.98,18326,21164,39491,358,358,716,0,0,0,0.23699877617380372,0.2736962575821563,0.25534751687798
73,Jardim do Morro,São Bento,795.7,18865,21962,40828,356,358,714,0,0,0,0.24533702011928585,0.2840229643347514,0.26473417422171813
74,São Bento,Aliados,443.38,21487,26978,48466,358,360,718,0,0,0,0.2778770020236409,0.3469447008699283,0.3125070460134229
75,Aliados,Trindade,450.27,23631,29208,52840,360,360,720,0,0,0,0.3039071117738707,0.375622390655132,0.33976475121450134
76,Trindade,Faria Guimaraes,555.34,19365,26030,45395,356,353,709,0,0,0,0.25184264424802144,0.34138758753065157,0.2964256696059459
77,Faria Guimaraes,Marques,621.04,18211,24981,43193,358,356,714,0,0,0,0.2355128409726802,0.3248779806750136,0.2800702495637596
78,Marques,Combatentes,702.75,14412,20684,35096,358,356,714,0,0,0,0.18638702155899575,0.2689868297329652,0.22757123964013456
79,Combatentes,Salgueiros,471.25,12277,18362,30639,356,356,712,0,0,0,0.1596585494295221,0.23880040202910494,0.19922947572931352
80,Salgueiros,Polo Universitario,775.36,10928,16840,27768,358,366,724,0,0,0,0.14132253393464336,0.2130170821983441,0.17756591054308873
81,Polo Universitario,I.P.O.,827.64,8571,13697,22268,358,360,718,0,0,0,0.11083968000433758,0.17615699649873665,0.14358930944442624
82,I.P.O.,Hospital São João,351.77,4353,6477,10830,358,358,716,0,0,0,0.056297649124494656,0.08376008690254501,0.07002886801351983
83,Verdes (E) ,Botica,683.54,1671,2827,4499,89,110,199,0,0,0,0.08695707030462262,0.1190202003796418,0.10468040853704527
84,Botica,Aeroporto,649.66,1493,2706,4199,85,91,176,0,0,0,0.08136216831207743,0.13766788766788773,0.11047478456991117
