,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
66,D. João II,João de Deus,716.25,164530,131098,295628,5122,5152,10274,0,0,0,0.14871416652468064,0.11780577119340371,0.1332148427221949
67,João de Deus,C.M.Gaia,405.01,251699,209127,460826,5124,5156,10280,0,0,0,0.2274151069256289,0.18777765715379743,0.20753468951088544
68,C.M.Gaia,General Torres,488.39,288810,238049,526859,5126,5154,10280,0,0,0,0.2608438023039941,0.21382981397510065,0.23727278130719287
69,General Torres,Jardim do Morro,419.98,319920,260358,580279,5066,5093,10159,0,0,0,0.2923635492397998,0.23667098438292378,0.2644432585796886
70,Jardim do Morro,São Bento,795.7,332672,276016,608689,4094,4130,8224,0,0,0,0.37619675985734824,0.30940828881856713,0.3426563433458981
71,São Bento,Aliados,443.38,412052,381731,793784,5530,5570,11100,0,0,0,0.34496380889676664,0.31728500874271126,0.33107453710774964
72,Aliados,Trindade,450.27,443216,414187,857403,5530,5572,11102,0,0,0,0.3710536944658795,0.3441376210198824,0.3575447446153034
73,Trindade,Faria Guimaraes,555.34,354758,339508,694266,5566,5536,11102,0,0,0,0.2950771332422941,0.2839229746350744,0.28951512441059096
74,Faria Guimaraes,Marques,621.04,334999,323500,658499,5564,5535,11099,0,0,0,0.2787422231508289,0.27058509874817616,0.27467431761261074
75,Marques,Combatentes,702.75,267299,252929,520229,5562,5538,11100,0,0,0,0.22249184824577647,0.21144281957499142,0.21697927880624426
76,Combatentes,Salgueiros,471.25,231592,217538,449130,5562,5536,11098,0,0,0,0.1927699044845961,0.18192226028508324,0.18735878912250356
77,Salgueiros,Polo Universitario,775.36,207226,194740,401967,5564,5530,11094,0,0,0,0.1724270438226079,0.1630333969841574,0.16774461485049402
78,Polo Universitario,I.P.O.,827.64,158133,156115,314248,5538,5532,11070,0,0,0,0.13219527620559943,0.13065052977937827,0.13142332162295664
79,I.P.O.,Hospital São João,351.77,72598,85802,158401,5526,5530,11056,0,0,0,0.06082201866332086,0.07183293148443869,0.06632946691773307
80,Verdes (E) ,Botica,683.54,32002,60314,92316,1603,1590,3193,0,0,0,0.09242525714899513,0.1756195421937585,0.1338530408073646
81,Botica,Aeroporto,649.66,27827,55217,83045,1603,1590,3193,0,0,0,0.0803698335428646,0.16077917540174402,0.12041081492577042
82,Sra da Hora,Fonte do Cuco,687.03,263002,295947,558949,2371,2386,4757,2983,2977,2983,0.21381368340728235,0.23635449407804754,0.2251359193143313
