,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,368,717,1085,76,76,152,0,0,0,0.022417153996101363,0.0437097202275227,0.03306343711181203
4,Venda Nova,Carreira,583.47,668,1261,1930,76,76,152,0,0,0,0.040729449817659295,0.07686891171558105,0.05879918076662017
5,Carreira,Baguim,786.02,935,1688,2623,75,76,151,0,0,0,0.05774679464910368,0.10285146285619336,0.08044848195863226
6,Baguim,Campainha,751.7,1233,1946,3180,81,76,157,0,0,0,0.0705046747257649,0.11858102053816182,0.09377730072412263
7,Campainha,Rio Tinto,859.99,1703,2518,4222,76,80,156,0,0,0,0.10375778104354594,0.14576220399384018,0.12529851076164555
8,Rio Tinto,Levada,452.83,2017,2935,4953,76,75,151,0,0,0,0.12288037467278948,0.18123275183340534,0.15186334346117483
9,Levada,Nau Vitória,1111.62,2552,3804,6356,76,76,152,0,0,0,0.15548531494955115,0.231725164557447,0.19360523975349905
10,Nau Vitória,Nasoni,499.02,2745,3918,6664,76,76,152,0,0,0,0.16726551696054584,0.238727678137345,0.20299659754894542
11,Nasoni,Contumil,650.0,2840,4036,6876,76,76,152,0,0,0,0.1730177280844681,0.2458641004183517,0.20944091425140987
12,Contumil,Estádio do Dragão,619.19,3409,4862,8272,91,76,167,0,0,0,0.17347859186847944,0.2962320587665346,0.22934244506759435
13,Estádio do Dragão,Campanhã,1166.02,7025,8743,15768,209,190,399,76,95,171,0.10978155980307142,0.1353466500788609,0.12262454250662998
14,Campanhã,Heroismo,950.92,12649,17151,29801,209,193,402,152,171,323,0.1527019876585888,0.20395015402209057,0.17851886238006917
15,Heroismo,24 de Agosto,571.9,14461,18591,33053,226,190,416,133,171,304,0.17679059461164082,0.22279451421256205,0.20002195040933685
16,24 de Agosto,Bolhão,680.44,20874,22430,43304,228,190,418,133,171,304,0.2538489777574434,0.26879491316396836,0.26137679293008764
17,Bolhão,Trindade,451.8,25822,28627,54449,221,190,411,143,160,303,0.31036329678967434,0.35464623432001974,0.3321697799366331
18,Trindade,Lapa,857.4300000000001,31926,38730,70657,211,188,399,152,168,320,0.38340271095083245,0.47076714136224673,0.4268210554321055
19,Lapa,Carolina Michaelis,460.97,31555,38225,69780,225,179,404,152,169,321,0.3656654681774052,0.4743988900639592,0.41816860951885837
