,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
69,General Torres,Jardim do Morro,419.98,20591,54158,74749,398,398,796,0,0,0,0.23952481834989445,0.6299824907553707,0.4347536545526326
70,Jardim do Morro,São Bento,795.7,22235,56201,78437,390,398,788,0,0,0,0.2639489898443468,0.6537541880024023,0.4608302955130093
71,São Bento,Aliados,443.38,31674,60777,92451,400,398,798,0,0,0,0.3665984871067122,0.7069766983829759,0.5363610536329692
72,Aliados,Trindade,450.27,37294,59849,97143,400,398,798,0,0,0,0.43165295474380794,0.6961786991620771,0.5635843410576815
73,Trindade,Faria Guimaraes,555.34,37586,45245,82831,394,402,796,0,0,0,0.44164922037196125,0.5210727320671604,0.48176008934365727
74,Faria Guimaraes,Marques,621.04,36002,43156,79159,400,398,798,0,0,0,0.41670133935255965,0.5020018959998925,0.4592447247480965
75,Marques,Combatentes,702.75,29889,33869,63759,400,398,798,0,0,0,0.3459477887757659,0.3939770010900135,0.36990220795003975
76,Combatentes,Salgueiros,471.25,25007,30303,55311,400,398,798,0,0,0,0.2894368881341122,0.3525022810415107,0.32089055527339116
77,Salgueiros,Polo Universitario,775.36,21333,28986,50320,398,412,810,0,0,0,0.24815954793581585,0.32571902931265656,0.28760955574724595
78,Polo Universitario,I.P.O.,827.64,16393,19974,36367,400,398,798,0,0,0,0.18973457974191943,0.2323526172761747,0.2109901924469741
79,I.P.O.,Hospital São João,351.77,9826,8599,18425,400,398,798,0,0,0,0.11372899717126835,0.10002559091755071,0.10689446623269738
80,Verdes (E) ,Botica,683.54,2084,4329,6414,98,79,177,0,0,0,0.09848282272036683,0.2537372791913405,0.16777718464808952
81,Botica,Aeroporto,649.66,1759,3634,5393,101,79,180,0,0,0,0.0806509533927893,0.212962962962963,0.13872122425969885
82,Sra da Hora,Fonte do Cuco,687.03,41107,22886,63994,189,220,409,300,278,300,0.3564081884669389,0.1969373604049143,0.27625181663916437
