,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
67,João de Deus,C.M.Gaia,405.01,45308,10411,55720,400,284,684,0,0,0,0.5244028268300153,0.16972756733722336,0.3771399997891484
68,C.M.Gaia,General Torres,488.39,50384,11921,62305,386,284,670,0,0,0,0.6043006613981501,0.19433688432447105,0.4305249708176652
69,General Torres,Jardim do Morro,419.98,57461,12562,70023,400,292,692,0,0,0,0.6650592140637551,0.1991710910451452,0.46847058411948617
70,Jardim do Morro,São Bento,795.7,58084,13517,71601,402,322,724,0,0,0,0.6689253660724269,0.19435315245831086,0.45785871858106597
71,São Bento,Aliados,443.38,59466,20071,79538,364,312,676,0,0,0,0.7563387053552612,0.29783670801309586,0.5447223988896465
72,Aliados,Trindade,450.27,57602,23622,81224,372,312,684,0,0,0,0.7168726301796613,0.3505248414686078,0.5497666212939176
73,Trindade,Faria Guimaraes,555.34,40333,18575,58908,394,320,714,0,0,0,0.47393094549121967,0.26873606917715315,0.38196685526642793
74,Faria Guimaraes,Marques,621.04,38471,17935,56406,390,320,710,0,0,0,0.45668451614032035,0.25948623086194134,0.36780641573316364
75,Marques,Combatentes,702.75,29274,15107,44381,368,322,690,0,0,0,0.36828741033687384,0.21720890998048062,0.297784110170557
76,Combatentes,Salgueiros,471.25,26776,12822,39598,362,338,700,0,0,0,0.3424480693681488,0.1756264609482344,0.26189706415967584
77,Salgueiros,Polo Universitario,775.36,25195,10842,36037,358,352,710,0,0,0,0.32582600521705996,0.1426008044240399,0.2349875958098162
78,Polo Universitario,I.P.O.,827.64,20081,9577,29659,346,354,700,0,0,0,0.2687039287306325,0.1252603455946269,0.19616245954470965
79,I.P.O.,Hospital São João,351.77,7631,8509,16141,366,340,706,0,0,0,0.09653458917485402,0.11587690631742521,0.10584958609903845
80,Verdes (E) ,Botica,683.54,2439,2474,4914,42,42,84,0,0,0,0.2688698140850948,0.2728069802823261,0.27083839718371044
81,Botica,Aeroporto,649.66,1628,1970,3599,42,42,84,0,0,0,0.17950951938980403,0.2172619047617639,0.19838571207578398
82,Sra da Hora,Fonte do Cuco,687.03,23117,49244,72361,103,118,221,206,223,206,0.32233309752073436,0.6052488526262663,0.4699589538650466
