,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
3,Fânzeres,Venda Nova,440.45,2497,563,3061,191,110,301,0,0,0,0.06054876866395189,0.023716129349725532,0.04708833569197548
4,Venda Nova,Carreira,583.47,4565,899,5465,191,95,286,0,0,0,0.1106738705031295,0.043823403873041004,0.088468295923205
5,Carreira,Baguim,786.02,7072,1094,8166,153,98,251,0,0,0,0.21400451451054903,0.05169292357978412,0.1506318614778201
6,Baguim,Campainha,751.7,8734,1147,9881,153,120,273,0,0,0,0.264299793666731,0.04425512200100599,0.1675768610664123
7,Campainha,Rio Tinto,859.99,10641,1498,12140,153,130,283,0,0,0,0.3220073447362306,0.05337387168659133,0.19860680941307474
8,Rio Tinto,Levada,452.83,11726,1686,13412,153,132,285,0,0,0,0.3548197339550274,0.059135576004761985,0.21787128185174662
9,Levada,Nau Vitória,1111.62,14406,2190,16597,153,132,285,0,0,0,0.43592881467127437,0.07682727315581757,0.2696081007062207
10,Nau Vitória,Nasoni,499.02,14905,2223,17129,153,132,285,0,0,0,0.45103492728741373,0.07799474379216662,0.2782584212475098
11,Nasoni,Contumil,650.0,15147,2274,17422,121,136,257,0,0,0,0.5795670658120489,0.07743644406920053,0.31384813757458824
12,Contumil,Estádio do Dragão,619.19,15838,2565,18403,109,160,269,0,0,0,0.6727023369943319,0.07422025618293375,0.3167278651362512
13,Estádio do Dragão,Campanhã,1166.02,21857,6097,27954,240,243,483,154,129,283,0.2427703409777241,0.07218042992938796,0.16018899593919703
14,Campanhã,Heroismo,950.92,41102,13273,54376,372,281,653,220,196,416,0.3046607120276244,0.12143888414223969,0.2226559348009722
15,Heroismo,24 de Agosto,571.9,43878,15008,58887,370,285,655,262,196,458,0.3028289044386015,0.13623693316630928,0.23087400570288855
16,24 de Agosto,Bolhão,680.44,51743,19820,71563,357,285,642,262,222,484,0.364166986752605,0.16995964050172252,0.2766241428445367
17,Bolhão,Trindade,451.8,51739,28066,79806,350,285,635,262,234,496,0.3680557356765274,0.2346881957033059,0.3067503835944977
18,Trindade,Lapa,857.4300000000001,50286,50827,101113,311,295,606,262,238,500,0.38051933760624335,0.41409346665401614,0.3966868054984026
19,Lapa,Carolina Michaelis,460.97,48123,52206,100330,329,286,615,259,240,499,0.3556885885651881,0.4304093473011801,0.3910105360602031
20,Carolina Michaelis,Casa da Música,627.48,42572,53905,96477,333,316,649,241,240,481,0.3232647232190832,0.42187233339370955,0.3718236659862144
21,Casa da Música,Francos,871.87,35402,55031,90433,356,331,687,241,228,469,0.259046142177528,0.4297992711752217,0.3416411563702289
22,Francos,Ramalde,965.03,31387,55227,86614,351,369,720,239,218,457,0.23234719366662532,0.412860057715802,0.3221604944600994
23,Ramalde,Viso,621.15,30589,53496,84085,351,345,696,205,218,423,0.2415126986167857,0.41603999001613634,0.3294355055329983
24,Viso,Sete Bicas,743.81,28437,52028,80465,351,363,714,197,218,415,0.22809768791209947,0.39274948280530453,0.31292079314921434
25,Sete Bicas,Sra da Hora,674.5,26368,51546,77914,351,386,737,191,210,401,0.21405459394362766,0.38054096657181435,0.3012475188227015
26,Sra da Hora,Vasco da Gama,824.48,10636,9875,20511,157,197,354,0,0,0,0.31364196043084663,0.23207369721374368,0.2682494523693515
27,Vasco da Gama,Estádio do Mar,661.6,11314,7786,19100,168,217,385,0,0,0,0.3117915795321457,0.16612668733795688,0.22968954938633018
28,Estádio do Mar,Pedro Hispano,786.97,11516,7721,19237,155,219,374,0,0,0,0.34397510098830697,0.1632333328057456,0.2381396805819408
29,Pedro Hispano,Parque de Real,656.68,10455,6793,17248,151,219,370,0,0,0,0.32055290803911896,0.14361553044431274,0.21582510886813905
30,Parque de Real,C. Matosinhos,723.67,9092,5791,14884,148,175,323,0,0,0,0.28442218447171996,0.15322565343892838,0.21334047261184835
31,C. Matosinhos,Matosinhos Sul,616.61,5969,4023,9992,128,183,311,0,0,0,0.21590468839789184,0.1017848658391573,0.14875379602410269
32,Matosinhos Sul,Brito Capelo,535.72,2467,2533,5000,112,219,331,0,0,0,0.10198349217632209,0.053548773890442464,0.06993756074246216
33,Brito Capelo,Mercado,487.53,1063,1754,2818,110,219,329,0,0,0,0.04476881652985826,0.037095439603086346,0.03966100635671829
34,Mercado,Sr. de Matosinhos,708.96,230,497,727,130,219,349,0,0,0,0.008221736794913205,0.010506511077287332,0.009655449023680924
35,Sra da Hora,Fonte do Cuco,687.03,9585,24773,34358,66,87,153,109,133,242,0.23215416327072322,0.47847158495469944,0.36919244687243336
36,Fonte do Cuco,Custoias,689.2,9645,24499,34144,66,87,153,107,150,257,0.2364607597624476,0.43754742827098436,0.35279450028908416
37,Custoias,Esposade,1779.24,9586,23914,33501,66,87,153,103,174,277,0.24087755521225138,0.3860604308723967,0.3292681045310519
38,Esposade,Crestins,2035.56,9490,23492,32982,66,87,153,90,176,266,0.259463128004589,0.37624219399899395,0.33310460898433614
39,Crestins,Verdes,591.8199999999999,9247,22914,32162,66,87,153,89,196,285,0.2545633740802338,0.3399839884530716,0.31006766808695585
