,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
60,Pias,Araújo,1258.13,1664,908,2573,0,0,0,44,44,88,0.15256212025163146,0.08327317137903703,0.11791764581533426
61,Araújo,Custió,651.69,1585,874,2459,0,0,0,44,44,88,0.14528156359354646,0.08010723879738328,0.11269440119546487
62,Custió,Parque de Maia,1418.51,1507,863,2371,0,0,0,46,44,90,0.13215946305836995,0.07916633768615883,0.10625171287640006
63,Parque de Maia,Forum,824.81,1286,802,2088,0,0,0,64,44,108,0.08103273453780092,0.07356415342532271,0.07798997926975423
64,Forum,Zona Industrial,1119.4,634,414,1049,0,0,0,44,44,88,0.05816828824313229,0.03800584426190648,0.048087066252519385
65,Zona Industrial,Mandim,1194.23,619,373,992,0,0,0,44,44,88,0.056728264317418856,0.034263202160999894,0.04549573323920938
66,Mandim,Castêlo da Maia,1468.1,599,348,948,0,0,0,44,44,88,0.05493444840614926,0.03197233697652792,0.04345339269133859
67,Castêlo da Maia,ISMAI,702.48,244,261,505,0,0,0,44,44,88,0.022415158186172554,0.023918621700879765,0.02316688994352616
68,Santo Ovídio,D. João II,463.71,851,2331,3182,88,89,177,0,0,0,0.0447706228956229,0.12128510136484813,0.08324400472478136
69,D. João II,João de Deus,716.25,1230,3340,4570,88,88,176,0,0,0,0.06475271662261955,0.1757225881989359,0.12023765241077772
70,João de Deus,C.M.Gaia,405.01,2657,5089,7746,88,88,176,0,0,0,0.1397859495174831,0.26777414864041543,0.20378004907894928
71,C.M.Gaia,General Torres,488.39,3013,5897,8910,88,88,176,0,0,0,0.15851614240565312,0.3102418891350657,0.2343790157703594
72,General Torres,Jardim do Morro,419.98,3156,6700,9857,88,88,176,0,0,0,0.16608536828255613,0.35249056308367405,0.2592879656831151
73,Jardim do Morro,São Bento,795.7,3437,7078,10516,88,88,176,0,0,0,0.1808669300963717,0.3723976581389674,0.27663229411766954
74,São Bento,Aliados,443.38,4774,7925,12700,88,86,174,0,0,0,0.2512005542476015,0.42667785541013314,0.33793071459230106
75,Aliados,Trindade,450.27,5842,8063,13905,89,88,177,0,0,0,0.30391688590802735,0.4241924393486269,0.36371490117793
76,Trindade,Faria Guimaraes,555.34,6513,5709,12222,88,88,176,0,0,0,0.3426488291038227,0.3003667794145638,0.3215078042591933
77,Faria Guimaraes,Marques,621.04,6027,5619,11647,87,88,175,0,0,0,0.3207355355121372,0.29565979509381207,0.30812602033035086
78,Marques,Combatentes,702.75,4624,4644,9268,87,88,175,0,0,0,0.24606312529229904,0.24433910044473808,0.2451961870832398
79,Combatentes,Salgueiros,471.25,3782,4245,8027,87,88,175,0,0,0,0.20127476410582065,0.22333150523502052,0.21236615393078975
80,Salgueiros,Polo Universitario,775.36,3091,4011,7102,87,88,175,0,0,0,0.16449546075057214,0.21105801364815305,0.18790977306478424
81,Polo Universitario,I.P.O.,827.64,2352,3387,5740,87,87,174,0,0,0,0.12520600976386895,0.18025920915570487,0.15273260945978692
82,I.P.O.,Hospital São João,351.77,1493,1914,3408,97,87,184,0,0,0,0.0712995756888243,0.10190506598552573,0.08577064990519943
83,Verdes (E) ,Botica,683.54,569,1735,2305,66,44,110,0,0,0,0.03998309011423327,0.18256340102874427,0.09701521448003766
84,Botica,Aeroporto,649.66,494,1705,2199,66,44,110,0,0,0,0.03469341718384647,0.17939814814814817,0.09257530956956715
