,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
53,São Brás,Póvoa de Varzim,624.94,33532,37542,71074,0,0,0,2119,2186,4305,0.06380919003678005,0.06924932857185019,0.0665715925542396
55,Fonte do Cuco,Cândido dos Reis,913.51,121315,124994,246310,919,951,1870,1684,1600,3284,0.19689770456536257,0.20755821504782998,0.20216706020372452
56,Cândido dos Reis,Pias,916.73,116102,119914,236016,919,951,1870,1684,1600,3284,0.18843684989857434,0.19912152205347494,0.19371814834634282
57,Pias,Araújo,1258.13,111948,116034,227983,919,953,1872,1684,1600,3284,0.1816949605109917,0.19254188196097652,0.18705840105336052
58,Araújo,Custió,651.69,108541,111006,219548,919,955,1874,1683,1600,3283,0.17623628308683498,0.18406606108966816,0.18011003737566672
59,Custió,Parque de Maia,1418.51,104710,108492,213202,919,955,1874,1683,1600,3283,0.1700152441432718,0.17989673650891905,0.17490407667691873
60,Parque de Maia,Forum,824.81,91228,92575,183803,919,955,1874,1682,1600,3282,0.148184239414836,0.15350457967949777,0.1508169941138745
61,Forum,Zona Industrial,1119.4,44087,45381,89469,524,442,966,957,981,1938,0.12577828302360897,0.13396325617785057,0.12980094653586943
62,Zona Industrial,Mandim,1194.23,40628,41706,82334,524,442,966,957,981,1938,0.11590938977765344,0.12311475492678076,0.1194506059712444
63,Mandim,Castêlo da Maia,1468.1,37319,38142,75462,524,442,966,957,981,1938,0.10646811998233437,0.112595902778361,0.10947973746722002
64,Castêlo da Maia,ISMAI,702.48,23232,22575,45807,524,442,966,957,979,1936,0.06627907231544296,0.06673781425159048,0.06650436193060388
65,Santo Ovídio,D. João II,463.71,146298,119846,266144,6418,6459,12877,0,0,0,0.10553218378865,0.08590255189423472,0.0956861177479551
66,D. João II,João de Deus,716.25,198343,177944,376288,6421,6460,12881,0,0,0,0.14300871079428276,0.1275256137687928,0.1352437230771284
67,João de Deus,C.M.Gaia,405.01,305081,282992,588073,6427,6470,12897,0,0,0,0.21976261992491533,0.20249601233022763,0.2111005317542067
68,C.M.Gaia,General Torres,488.39,350362,320423,670785,6425,6466,12891,0,0,0,0.25245911617907546,0.2294216330016886,0.24090373907683488
69,General Torres,Jardim do Morro,419.98,386620,353612,740233,6421,6468,12889,0,0,0,0.2787589134587678,0.25310710776043993,0.26588624069464456
70,Jardim do Morro,São Bento,795.7,397031,370242,767273,6423,6468,12891,0,0,0,0.2861760176577259,0.26500996601623994,0.27555604853065035
71,São Bento,Aliados,443.38,449518,443574,893093,6426,6475,12901,0,0,0,0.32385662072481564,0.31715633084197004,0.3204937514130239
72,Aliados,Trindade,450.27,473483,469898,943381,6425,6475,12900,0,0,0,0.3411756261860695,0.33597753879126946,0.3385665086758889
73,Trindade,Faria Guimaraes,555.34,404448,390030,794479,6476,6423,12899,0,0,0,0.28913664058044414,0.28112999661894644,0.28514976763178923
74,Faria Guimaraes,Marques,621.04,383376,372858,756235,6473,6425,12898,0,0,0,0.27419896120155157,0.26866899064107097,0.27144426583396836
75,Marques,Combatentes,702.75,304442,287875,592317,6473,6425,12898,0,0,0,0.21774353945253408,0.20743267540949764,0.2126072934084568
76,Combatentes,Salgueiros,471.25,263559,246073,509632,6475,6427,12902,0,0,0,0.18844513549466824,0.17725657448658508,0.18287166769130825
77,Salgueiros,Polo Universitario,775.36,234644,218168,452812,6473,6427,12900,0,0,0,0.1678225069440469,0.157155359154886,0.16250795199513704
78,Polo Universitario,I.P.O.,827.64,178814,173347,352161,6471,6426,12897,0,0,0,0.12793136013934836,0.12488862482989423,0.12641530081558683
79,I.P.O.,Hospital São João,351.77,84623,97571,182194,6471,6426,12897,0,0,0,0.060543334425199505,0.07029529918963472,0.06540230360999137
80,Verdes (E) ,Botica,683.54,28945,50549,79494,1683,1639,3322,0,0,0,0.07962287718356871,0.14278535154872354,0.11078581983392657
81,Botica,Aeroporto,649.66,24838,45780,70618,1684,1640,3324,0,0,0,0.06828685757929744,0.12923441734417349,0.09835725409385722
82,Sra da Hora,Fonte do Cuco,687.03,274449,303332,577781,2604,2598,5202,3806,3788,3806,0.1853736074389012,0.2031081354755027,0.19425544812337697
