,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotamBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
67,Castêlo da Maia,ISMAI,702.48,2623,2952,5575,0,0,0,93,69,162,0.11373674402007815,0.17251051893480318,0.13877001852079435
68,Santo Ovídio,D. João II,463.71,7944,7428,15373,454,458,912,0,0,0,0.08101851851797594,0.07508731060339166,0.0780399075257834
69,D. João II,João de Deus,716.25,11471,11605,23076,456,450,906,0,0,0,0.11646321860267062,0.11939506891672326,0.11791943564607425
70,João de Deus,C.M.Gaia,405.01,18471,18909,37381,456,466,922,0,0,0,0.18754053938463788,0.18786334379171168,0.18770369215437369
71,C.M.Gaia,General Torres,488.39,21569,21381,42951,458,462,920,0,0,0,0.21803082775998003,0.2142626998856652,0.21613857224048716
72,General Torres,Jardim do Morro,419.98,23647,25014,48661,456,460,916,0,0,0,0.24008166617216622,0.25176018330215916,0.24594642368286135
73,Jardim do Morro,São Bento,795.7,24738,26758,51496,452,456,908,0,0,0,0.25338329477541893,0.2716711347520325,0.26256749634957727
74,São Bento,Aliados,443.38,29927,35835,65763,458,460,918,0,0,0,0.3025162623734574,0.3606667177084479,0.33165483476353974
75,Aliados,Trindade,450.27,32756,38001,70758,458,460,918,0,0,0,0.33111630683524124,0.38246478655142147,0.35684648185642087
76,Trindade,Faria Guimaraes,555.34,29086,40621,69708,456,454,910,0,0,0,0.2953083525628147,0.41423475172923907,0.3546408637952946
77,Faria Guimaraes,Marques,621.04,27761,38669,66431,458,456,914,0,0,0,0.2806246916468408,0.39259840555251363,0.3364890390658636
78,Marques,Combatentes,702.75,22984,33218,56203,458,460,918,0,0,0,0.23233466059255797,0.3343266020932131,0.28344173367567493
79,Combatentes,Salgueiros,471.25,20598,31280,51878,456,460,916,0,0,0,0.20913030165480778,0.3148192590817881,0.2622055422840774
80,Salgueiros,Polo Universitario,775.36,18851,29882,48734,458,452,910,0,0,0,0.19055745576327818,0.30607581333438966,0.2479358047985995
81,Polo Universitario,I.P.O.,827.64,15262,22719,37982,458,458,916,0,0,0,0.15428358349531346,0.2296567098179519,0.19197014665663267
82,I.P.O.,Hospital São João,351.77,6580,9139,15720,456,460,916,0,0,0,0.06681485361635105,0.09198872785768485,0.07945675552793789
83,Verdes (E) ,Botica,683.54,2746,7261,10008,130,130,260,0,0,0,0.09780617662893953,0.2586128923245307,0.17820953447673513
84,Botica,Aeroporto,649.66,2491,6958,9449,130,130,260,0,0,0,0.08871496890641813,0.24779202279218915,0.16825349584930363
