,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
0,Fânzeres,Venda Nova,440.45,339,505,844,95,95,190,0,0,0,0.01652046783625731,0.024615605053451544,0.020568036444854425
1,Venda Nova,Carreira,583.47,614,957,1571,98,95,193,0,0,0,0.0290285529537239,0.04665259966991787,0.03770360185547741
2,Carreira,Baguim,786.02,863,1214,2078,111,94,205,0,0,0,0.036029663717926826,0.05980666972726655,0.04693229086367284
3,Baguim,Campainha,751.7,1103,1392,2495,95,98,193,0,0,0,0.05377077848583301,0.06577619934945911,0.05986679529741517
4,Campainha,Rio Tinto,859.99,1524,1780,3304,95,99,194,0,0,0,0.07431149758771523,0.08324426952336497,0.0788699739878664
5,Rio Tinto,Levada,452.83,1814,2065,3879,95,102,197,0,0,0,0.08841780116583838,0.09374672292911211,0.09117693832245727
6,Levada,Nau Vitória,1111.62,2261,2567,4829,96,96,192,0,0,0,0.1090787149488189,0.12381700807318245,0.11644786151100067
7,Nau Vitória,Nasoni,499.02,2387,2666,5054,95,95,190,0,0,0,0.11637353277502026,0.1299662008469179,0.12316986681096907
8,Nasoni,Contumil,650.0,2457,2760,5217,95,95,190,0,0,0,0.11975137526011082,0.13451589401945704,0.12713363463978392
9,Contumil,Estádio do Dragão,619.19,3016,3481,6497,108,95,203,0,0,0,0.12930984744746643,0.16965227867602772,0.14818931033767985
10,Estádio do Dragão,Campanhã,1166.02,5895,6321,12217,214,235,449,112,112,224,0.07966683276954586,0.08049775524633508,0.0800946486794761
11,Campanhã,Heroismo,950.92,12025,11915,23941,233,255,488,196,196,392,0.12154847044351344,0.11491986036308321,0.11815643730815116
12,Heroismo,24 de Agosto,571.9,13383,12933,26317,240,249,489,196,196,392,0.13324025907256076,0.12631476997217075,0.12974432789544021
13,24 de Agosto,Bolhão,680.44,18352,15667,34019,227,249,476,207,197,404,0.18284892251667964,0.15264314707164384,0.16757700815035675
14,Bolhão,Trindade,451.8,23285,21225,44511,227,248,475,211,210,421,0.22973014345268478,0.20091147389100641,0.21502233118527386
15,Trindade,Lapa,857.4300000000001,25990,28948,54938,227,248,475,198,203,401,0.264838283100401,0.2785828725823354,0.2719070379618535
