,A,B,Distance,PassagersAtoB,PassagersBtoA,PassagersTotal,EurotramAtoB,EurotramBtoA,EurotramTotal,TraintramAtoB,TraintramBtoA,TraintramTotal,OccupancyAtoB,OccupancyBtoA,OccupancyTotal
68,C.M.Gaia,General Torres,488.39,23078,24077,47156,384,388,772,0,0,0,0.278246435249558,0.2872911186522121,0.2827922087731717
69,General Torres,Jardim do Morro,419.98,24355,26494,50849,382,388,770,0,0,0,0.29517888993544794,0.31612741038963654,0.30573476777470143
70,Jardim do Morro,São Bento,795.7,25274,27927,53201,378,388,766,0,0,0,0.30955213458167363,0.3332331308632825,0.32154720841622225
71,São Bento,Aliados,443.38,29243,35232,64476,384,389,773,0,0,0,0.3525741728265652,0.4193195404644915,0.3861627213532836
72,Aliados,Trindade,450.27,32085,37821,69906,388,388,776,0,0,0,0.38284947585316914,0.45128292326968156,0.4170661995614254
73,Trindade,Faria Guimaraes,555.34,24883,33617,58500,386,390,776,0,0,0,0.2984490017536744,0.39906614028147497,0.34901689353955356
74,Faria Guimaraes,Marques,621.04,23387,32184,55571,384,388,772,0,0,0,0.28196734924814976,0.38402187703297186,0.33325900310891526
75,Marques,Combatentes,702.75,18776,26435,45212,384,386,770,0,0,0,0.2263749683417996,0.31706651530657937,0.27183852305401385
76,Combatentes,Salgueiros,471.25,16320,23687,40008,384,384,768,0,0,0,0.19676142781223493,0.2855899449582096,0.24117568638522227
77,Salgueiros,Polo Universitario,775.36,14622,21979,36601,386,382,768,0,0,0,0.17538169737396542,0.2663736326047114,0.220640706824675
78,Polo Universitario,I.P.O.,827.64,11261,17604,28866,386,386,772,0,0,0,0.1350702032401894,0.21114975150098494,0.17310997737058717
79,I.P.O.,Hospital São João,351.77,5726,8501,14228,386,386,772,0,0,0,0.06868300663043506,0.10197179044270342,0.08532739853656925
80,Verdes (E) ,Botica,683.54,2533,4361,6895,84,109,193,0,0,0,0.13965395375925616,0.18523365328767594,0.16539585660173156
81,Botica,Aeroporto,649.66,2325,4094,6419,85,108,193,0,0,0,0.1266571483788413,0.17549725651581022,0.15398736433113477
82,Sra da Hora,Fonte do Cuco,687.03,18694,19098,37794,96,94,190,194,178,194,0.2699103322671783,0.30863053499697923,0.2861530213732417
